Random Match:,Copy:,match_num,date,surface,indoor,round,best_of,score,outcome,w_sets,l_sets,first_name,last_name,first_name,last_name,Previous Matches,Tournament,AWins,BWins,2-0,2-Jan,0-2,1-Feb,2 Sets,3 Sets,Pa,Pb
32,1608,295,18/06/2018,G,f,QF,3,6-3 6-7(3) 6-3,0,2,1,Roberto,Bautista Agut,Karen,Khachanov,2,Halle (Germany),2,1.8,3.2,4.5,2.75,4,1.53,2.37,0.676,0.61
553,1132,287,25/06/2018,G,f,R16,3,6-2 6-0,0,2,0,Mikhail,Kukushkin,David,Ferrer,8,Eastbourne (UK),1.72,2,2.62,4,3.2,4.5,1.64,2.37,0.572,0.62
295,15,188,19/03/2018,H,f,R128,3,7-6(4) 7-6(4),0,2,0,Joao,Sousa,Ryan,Harrison,1,Miami Masters,1.9,1.8,3,4.5,2.75,4,1.57,2.25,0.722,0.595
700,305,270,19/02/2018,C,f,R32,3,6-2 7-5,0,2,0,Dominic,Thiem,Dusan,Lajovic,4,Rio de Janeiro,1.12,6,1.4,4.5,9,11,1.25,3.75,0.683,0.603
49,758,279,21/05/2018,C,f,R32,3,3-6 7-6(5) 6-4,0,2,1,Frances,Tiafoe,Ryan,Harrison,1,Geneva (Switzerland),1.44,2.62,2.1,4,4.33,5.5,1.5,2.5,0.687,0.66
1022,153,250,7/05/2018,C,f,R64,3,7-5 6-4,0,2,0,Novak,Djokovic,Kei,Nishikori,15,Madrid Masters,1.66,2.1,2.62,4,3.25,4.5,1.53,2.37,0.669,0.54
325,177,252,13/08/2018,H,f,R64,3,6-1 6-2,0,2,0,Jeremy,Chardy,Fernando,Verdasco,3,Cincinnati Masters,2.25,1.57,3.75,5,2.37,4,1.53,2.37,0.683,0.651
1583,1110,287,19/02/2018,H,t,R16,3,3-6 6-2 6-4,0,2,1,Nicolas,Mahut,Gilles,Muller,1,Marseille,2.1,1.66,3.25,4.5,2.62,4,1.53,2.37,0.696,0.628
1236,687,278,19/02/2018,C,f,R32,3,6-7(5) 7-6(10) 6-3,0,2,1,Pablo,Cuevas,Thiago,Monteiro,3,Rio de Janeiro,1.44,2.62,2.1,3.75,4.33,5.5,1.5,2.5,0.717,0.574
233,1488,293,25/06/2018,G,f,R16,3,6-4 7-5,0,2,0,Adrian,Mannarino,Ricardas,Berankis,5,Antalya (Turkey),1.25,3.75,1.72,4,6,7.5,1.4,2.75,0.674,0.553
519,707,278,25/06/2018,G,f,R32,3,6-4 7-6(4),0,2,0,Leonardo,Mayer,Gilles,Simon,2,UK Eastbourne,2,1.72,3.2,4.5,2.62,4,1.53,2.37,0.581,0.631
1720,1767,298,12/02/2018,C,f,SF,3,6-4 2-6 6-1,0,2,1,Aljaz,Bedene,Federico,Delbonis,1,Buenos Aires,1.61,2.3,2.5,4,3.5,5,1.53,2.37,0.577,0.636
1207,1722,297,23/04/2018,C,f,QF,3,6-0 7-5,0,2,0,Rafael,Nadal,Martin,Klizan,3,Barcelona,1.02,15,1.12,6.5,19,23,1.1,6.5,0.633,0.577
