date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 17/06/2017,"Alexander Bublik 
						BUB
				","Andrey Kuznetsov 
						KUZ
				","
				3.79
			","
				1.23
			","
				1.63
			","
				3.85
			","
				7.25
			","
				6.25
			","
						1.72
					","
						2.00
					"
 17/06/2017,"Denis Istomin 
						IST
				","Maximilian Marterer 
						MAR
				","
				1.49
			","
				2.48
			","
				3.95
			","
				5.25
			","
				3.70
			","
				2.15
			","
						1.80
					","
						1.90
					"
 17/06/2017,"Ruben Bemelmans 
						BEM
				","Lukas Lacko 
						LAC
				","
				2.33
			","
				1.55
			","
				2.44
			","
				3.75
			","
				4.70
			","
				3.50
			","
						1.83
					","
						1.83
					"
 17/06/2017,"Ernesto Escobedo 
						ESC
				","Luca Vanni 
						VAN
				","
				1.42
			","
				2.67
			","
				4.42
			","
				5.75
			","
				3.80
			","
				1.98
			","
						1.90
					","
						1.80
					"
 17/06/2017,"Yuichi Sugita 
						SUG
				","Yannick Hanfmann 
						HAN
				","
				1.44
			","
				2.64
			","
				4.12
			","
				5.50
			","
				3.70
			","
				2.10
			","
						2.00
					","
						1.72
					"
 17/06/2017,"Andreas Seppi 
						SEP
				","Daniel Masur 
						MAS
				","
				1.11
			","
				5.55
			","
				8.75
			","
				11.00
			","
				4.40
			","
				1.36
			","
						1.80
					","
						1.90
					"
 17/06/2017,"Benjamin Becker 
						BEC
				","Mikhail Youzhny 
						YOU
				","
				2.05
			","
				1.71
			","
				2.71
			","
				4.02
			","
				4.50
			","
				3.20
			","
						1.80
					","
						1.90
					"
 17/06/2017,"Daniel Altmaier 
						ALT
				","Vasek Pospisil 
						POS
				","
				4.82
			","
				1.15
			","
				1.42
			","
				4.15
			","
				10.00
			","
				8.00
			","
						1.72
					","
						2.00
					"
 18/06/2017,"Maximilian Marterer 
						MAR
				","Alexander Bublik 
						BUB
				","
				1.48
			","
				2.52
			","
				4.00
			","
				5.42
			","
				3.75
			","
				2.10
			","
						1.90
					","
						1.80
					"
 18/06/2017,"Andreas Seppi 
						SEP
				","Lukas Lacko 
						LAC
				","
				1.53
			","
				2.36
			","
				3.65
			","
				4.75
			","
				3.75
			","
				2.36
			","
						1.72
					","
						2.00
					"
 18/06/2017,"Yuichi Sugita 
						SUG
				","Mikhail Youzhny 
						YOU
				","
				1.53
			","
				2.38
			","
				4.00
			","
				5.42
			","
				3.75
			","
				2.10
			","
						1.72
					","
						2.00
					"
