date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 12/03/2018,"Marton Fucsovics 
						FUC
				","Marin Cilic 
						CIL
				","
				4.10
			","
				1.23
			","
				1.67
			","
				3.92
			","
				8.10
			","
				7.03
			","
						3.00
					","
						1.47
					"
 12/03/2018,"Milos Raonic 
						RAO
				","Felix Auger Aliassime 
						AUG
				","
				1.32
			","
				3.37
			","
				5.72
			","
				6.80
			","
				3.88
			","
				1.85
			","
						2.75
					","
						1.55
					"
 12/03/2018,"Diego Sebastian Schwartzman 
						SCH
				","Marcos Baghdatis 
						BAG
				","
				1.50
			","
				2.58
			","
				4.42
			","
				5.57
			","
				3.84
			","
				2.23
			","
						2.50
					","
						1.58
					"
 12/03/2018,"Jack Sock 
						SOC
				","Thomas Fabbiano 
						FAB
				","
				1.28
			","
				3.71
			","
				6.48
			","
				7.58
			","
				3.91
			","
				1.74
			","
						3.00
					","
						1.50
					"
 12/03/2018,"Juan Martin Del Potro 
						DEL
				","Alex De Minaur 
						DEM
				","
				1.15
			","
				5.55
			","
				8.54
			","
				10.10
			","
				4.12
			","
				1.51
			","
						3.50
					","
						1.39
					"
 12/03/2018,"Joao Sousa 
						SOU
				","Alexander Zverev 
						ZVE
				","
				5.00
			","
				1.17
			","
				1.56
			","
				4.05
			","
				9.32
			","
				8.13
			","
						3.25
					","
						1.40
					"
 12/03/2018,"Adrian Mannarino 
						MAN
				","Jeremy Chardy 
						CHA
				","
				1.57
			","
				2.41
			","
				4.02
			","
				5.14
			","
				3.86
			","
				2.39
			","
						2.50
					","
						1.61
					"
 12/03/2018,"Roger Federer 
						FED
				","Filip Krajinović 
						KRA
				","
				1.06
			","
				9.67
			","
				12.38
			","
				16.25
			","
				5.00
			","
				1.27
			","
						4.50
					","
						1.24
					"
 12/03/2018,"Pablo Carreno Busta 
						CAR
				","Daniil Medvedev 
						MED
				","
				1.87
			","
				1.93
			","
				3.11
			","
				4.32
			","
				4.20
			","
				2.97
			","
						2.30
					","
						1.65
					"
 12/03/2018,"Borna Coric 
						COR
				","Roberto Bautista Agut 
						BAU
				","
				2.52
			","
				1.53
			","
				2.32
			","
				3.85
			","
				5.40
			","
				4.13
			","
						2.50
					","
						1.60
					"
 12/03/2018,"Fernando Verdasco 
						VER
				","Taylor Fritz 
						FRI
				","
				1.58
			","
				2.37
			","
				3.96
			","
				5.01
			","
				3.85
			","
				2.44
			","
						2.37
					","
						1.63
					"
 13/03/2018,"Nicolas Kicker 
						KIC
				","Kevin Anderson 
						AND
				","
				7.74
			","
				1.08
			","
				1.34
			","
				4.72
			","
				14.33
			","
				11.25
			","
						4.33
					","
						1.29
					"
 13/03/2018,"Pablo Cuevas 
						CUE
				","Dominic Thiem 
						THI
				","
				4.38
			","
				1.21
			","
				1.63
			","
				3.94
			","
				8.33
			","
				7.34
			","
						3.25
					","
						1.45
					"
 13/03/2018,"Tomas Berdych 
						BER
				","Hyeon Chung 
						CHU
				","
				1.81
			","
				2.01
			","
				3.27
			","
				4.39
			","
				4.07
			","
				2.90
			","
						2.37
					","
						1.64
					"
 13/03/2018,"Gael Monfils 
						MON
				","Pierre-Hugues Herbert 
						HER
				","
				1.32
			","
				3.42
			","
				6.02
			","
				6.95
			","
				3.82
			","
				1.85
			","
						2.75
					","
						1.56
					"
 13/03/2018,"Philipp Kohlschreiber 
						KOH
				","Marin Cilic 
						CIL
				","
				4.30
			","
				1.22
			","
				1.65
			","
				3.91
			","
				7.77
			","
				6.81
			","
						3.25
					","
						1.47
					"
 13/03/2018,"Leonardo Mayer 
						MAY
				","Taro Daniel 
						DAN
				","
				1.46
			","
				2.75
			","
				4.54
			","
				5.60
			","
				3.84
			","
				2.14
			","
						2.50
					","
						1.60
					"
 13/03/2018,"Juan Martin Del Potro 
						DEL
				","David Ferrer 
						FER
				","
				1.17
			","
				5.20
			","
				8.54
			","
				9.90
			","
				4.04
			","
				1.54
			","
						3.50
					","
						1.39
					"
 13/03/2018,"Milos Raonic 
						RAO
				","Joao Sousa 
						SOU
				","
				1.34
			","
				3.34
			","
				5.88
			","
				6.78
			","
				3.82
			","
				1.90
			","
						2.75
					","
						1.54
					"
