Equation,Objective,Age,Surface,Weighting,Theta
1,-1.742647059,4.016666667,0.753125,0.759375,
1,-1.721611722,4.2,0.675,0.525,
1,-1.716981132,2.096604938,0.478009259,0.800810185,
1,-1.713235294,3.975925926,0.261535494,0.741550926,
1,-1.705882353,4.061072531,0.259890207,0.478383809,
1,-1.705882353,4.033333333,0.5125,0.75625,
2,-1.879245283,2.212962963,0.472839506,0.761111111,
2,-1.864468864,4.133333333,0.2375,0.775,
2,-1.860377358,2.109347533,0.783237835,0.778627258,
2,-1.856603774,2.105555556,0.256944444,0.739583333,
2,-1.854545455,6.3,0.25,0.75,
2,-1.84,6.333333333,0.263888889,0.241666667,
3,-1.894339623,2.231116175,0.506039858,0.755090603,0.460888672
3,-1.883636364,6.856094406,0.252136262,0.499973709,0.484916687
3,-1.879245283,2.21481491,0.783237835,0.778627258,0.75
3,-1.875457875,4.133333333,0.2375,0.81375,0.5
3,-1.871698113,2.158194444,0.256944444,0.739583333,0.5
3,-1.867924528,2.135714378,0.805266399,0.742129105,0.5140625
