match_id,match_num,date,surface,indoor,round,best_of,winner_id,loser_id,score,outcome,w_sets,l_sets,player_id,first_name,last_name,player_id,first_name,last_name
165400,303,7/03/2016,H,f,R32,3,4606,6418,6-1 7-6(3),,2,0,4606,Tomas,Berdych,6418,Borna,Coric
163432,11,13/07/2015,G,f,R32,3,5034,4939,6-3 3-6 6-2,,2,1,5034,Lukas,Lacko,4939,Niels,Desein
164252,20,28/09/2015,H,f,R16,3,5220,5349,6-3 4-6 6-3,,2,1,5220,Marin,Cilic,5349,John,Millman
164253,21,28/09/2015,H,f,QF,3,4606,6196,6-3 6-2,,2,0,4606,Tomas,Berdych,6196,Jiri,Vesely
164254,22,28/09/2015,H,f,QF,3,3990,4619,1-6 6-2 6-4,,2,1,3990,Tommy,Robredo,4619,Simone,Bolelli
164455,25,19/10/2015,H,f,QF,3,3970,4921,6-4 6-2,,2,0,3970,David,Ferrer,4921,Fabio,Fognini
164456,26,19/10/2015,H,f,QF,3,4789,4585,6-7(3) 6-3 6-3,,2,1,4789,Gael,Monfils,4585,Lukas,Rosol
168339,277,6/03/2017,H,f,R32,3,4291,26006,6-4 3-6 6-3,,2,1,4291,Malek,Jaziri,26006,Taylor Harry,Fritz
168340,278,6/03/2017,H,f,R32,3,6219,4994,6-1 6-4,,2,0,6219,Dominic,Thiem,4994,Mischa,Zverev
163941,33,23/08/2015,H,f,R16,3,5718,5370,6-3 6-0,,2,0,5718,Pierre Hugues,Herbert,5370,Aljaz,Bedene
164898,290,1/02/2016,C,f,R16,3,5793,5427,6-7(5) 7-6(2) 6-2,,2,1,5793,Pablo,Carreno Busta,5427,Inigo,Cervantes Huegun
164993,273,8/02/2016,H,f,R32,3,4470,5324,6-3 7-6(4),,2,0,4470,Ivan,Dodig,5324,Benoit,Paire
164994,274,8/02/2016,H,f,R32,3,4467,4894,7-6(5) 6-1,,2,0,4467,Gilles,Simon,4894,Robin,Haase
164996,276,8/02/2016,H,f,R32,3,6418,5210,7-6(9) 4-6 6-3,,2,1,6418,Borna,Coric,5210,Thiemo,De Bakker
164997,277,8/02/2016,H,f,R32,3,4789,5201,6-4 6-4,,2,0,4789,Gael,Monfils,5201,Ernests,Gulbis
165093,284,15/02/2016,C,f,R32,3,4596,3926,6-1 3-6 6-4,,2,1,4596,Nicolas,Almagro,3926,Daniel,Munoz De La Nava
165094,285,15/02/2016,C,f,R32,3,4742,5793,6-1 6-4,,2,0,4742,Rafael,Nadal,5793,Pablo,Carreno Busta
165095,286,15/02/2016,C,f,R16,3,3970,5070,4-6 6-1 6-4,,2,1,3970,David,Ferrer,5070,Albert,Ramos
164681,279,11/01/2016,H,f,R32,3,6044,3607,6-0 6-4,,2,0,6044,Jack,Sock,3607,Victor,Estrella
165497,286,21/03/2016,H,f,R16,3,4789,5763,6-7(5) 6-3 6-3,,2,1,4789,Gael,Monfils,5763,Grigor,Dimitrov
165595,275,11/04/2016,C,f,R32,3,4467,5763,6-4 6-3,,2,0,4467,Gilles,Simon,5763,Grigor,Dimitrov
165072,294,15/02/2016,H,f,QF,3,4606,5663,6-3 6-4,,2,0,4606,Tomas,Berdych,5663,David,Goffin
165224,2604,4/03/2016,H,f,RR,3,5629,4493,6-3 6-4,,2,0,5629,Blaz,Rola,4493,Adrian,Ungur
165563,298,4/04/2016,C,f,SF,3,5630,3656,6-4 6-3,,2,0,5630,Federico,Delbonis,3656,Albert,Montanes
165583,260,11/04/2016,C,f,R64,3,4198,5057,7-5 6-1,,2,0,4198,Guillermo,Garcia Lopez,5057,Thomaz,Bellucci
165630,256,18/04/2016,C,f,R64,3,5793,4794,7-5 7-5,,2,0,5793,Pablo,Carreno Busta,4794,Denis,Istomin
165787,252,2/05/2016,C,f,R64,3,5709,4677,6-4 6-4,,2,0,5709,Andrey,Kuznetsov,4677,Viktor,Troicki
166756,105,8/08/2016,H,f,R64,3,3893,4229,3-6 6-3 6-4,,2,1,3893,Paolo,Lorenzi,4229,Yen Hsun,Lu
171221,289,5/03/2018,H,f,R16,3,5016,3852,6-3 6-4,,2,0,5016,Sam,Querrey,3852,Feliciano,Lopez
171222,290,5/03/2018,H,f,R16,3,4728,5793,4-6 6-3 7-6(6),,2,1,4728,Kevin,Anderson,5793,Pablo,Carreno Busta
