0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
163654,3924,15,27/07/2015,H,FALSE,R16,3,6031,USA,,Q,94,534,,,22.940453,180,6044,USA,3,,35,1090,,,22.836414,185,7-6(6) 6-3,,2,0,12,9,1,0,TRUE,163654,0,,9,2,68,50,35,9,10,8,10,6,5,64,39,25,11,11,1,5
166366,3989,282,11/07/2016,C,FALSE,R32,3,5370,SLO,6,,68,765,,,26.98152,181,6021,SWE,,WC,507,72,,,23.928816,,6-4 7-6(4),,2,0,12,10,1,0,TRUE,166366,0,93,2,3,65,33,26,21,11,3,5,5,3,79,49,31,15,11,11,14
169203,4057,277,26/06/2017,G,FALSE,R32,3,5166,FRA,,,62,766,,,28.991102,183,6418,CRO,7,,42,966,,,20.61328,188,7-5 6-4,,2,0,13,9,0,0,TRUE,169203,0,95,7,1,66,38,32,18,11,3,3,16,1,64,43,35,9,11,1,3
174103,4177,176,18/03/2019,H,FALSE,R128,3,44999,SRB,,WC,95,630,,,19.545517,183,5201,LAT,,,78,704,,,30.546202,190,6-2 7-5,,2,0,13,7,0,0,TRUE,174103,0,91,2,1,49,34,28,9,10,0,1,5,6,80,39,25,17,10,11,15
162394,3899,8,12/03/2015,H,FALSE,R128,3,4470,CRO,,,96,560,,,30.179329,183,5303,POR,,,52,902,,,25.941135,185,6-3 7-5,,2,0,13,8,0,0,TRUE,162394,0,88,10,4,56,29,25,14,10,0,1,1,3,66,32,23,14,11,1,5
169383,4060,276,17/07/2017,C,FALSE,R32,3,4459,GER,,,93,560,,,32.605064,196,5057,BRA,,,65,702,,,29.546886,188,6-4 6-3,,2,0,12,7,0,0,TRUE,169383,0,71,0,1,61,37,26,12,10,1,3,3,3,52,29,17,12,9,3,7
164153,3933,2,21/09/2015,H,FALSE,R32,3,3893,ITA,,,88,593,,,33.765915,183,4326,BEL,,,59,812,,,31.523615,178,1-6 6-3 6-3,,2,1,13,12,0,0,TRUE,164153,0,,7,1,78,46,33,15,12,2,4,2,2,90,60,41,14,13,6,9
162211,3894,14,23/02/2015,C,FALSE,R16,3,5630,ARG,,,59,816,,,24.386038,190,3893,ITA,,,66,762,,,33.190964,183,6-4 6-2,,2,0,12,6,0,0,TRUE,162211,0,78,0,1,51,29,21,13,9,1,3,0,2,55,35,20,5,9,5,10
162160,3892,25,16/02/2015,C,FALSE,QF,3,4742,ESP,1,,3,5745,,,28.706366,185,4654,URU,6,,23,1447,,,29.125257,180,4-6 7-5 6-0,,2,1,17,11,0,0,TRUE,162160,0,125,2,3,72,46,35,17,14,0,2,6,3,82,41,27,20,14,7,12
172266,4130,283,16/07/2018,C,FALSE,R32,3,5953,SUI,,LL,148,382,,,26.29158,,6214,ARG,,Q,137,417,,,24.91718,,6-3 4-6 7-5,,2,1,17,14,0,0,TRUE,172266,0,132,6,5,107,64,41,19,15,7,12,2,5,102,60,34,21,16,5,12
172852,4095,23005,15/09/2018,H,FALSE,RR,3,45096,LIB,,,643,40,,,20.054756,,51755,THA,,,1398,3,,,18.76523,,6-3 6-3,,2,0,12,6,0,0,TRUE,172852,0,61,4,3,48,34,27,9,9,0,0,1,3,47,30,19,8,9,1,4
163755,3928,4,3/08/2015,H,FALSE,R64,3,3607,DOM,,,51,886,,,35.000683,173,11769,CHI,,WC,233,206,,,19.811089,,4-6 6-3 6-4,,2,1,16,13,0,0,TRUE,163755,0,,9,5,90,61,48,15,15,7,8,11,4,88,49,36,23,14,6,8
170846,4097,299,5/02/2018,C,FALSE,SF,3,6134,ESP,,Q,107,523,,,24.873375,183,5403,SVK,,Q,156,344,,,28.377823,180,4-6 6-3 6-2,,2,1,16,11,0,0,TRUE,170846,0,146,6,6,93,61,43,16,14,8,11,3,2,89,53,32,15,13,3,8
163941,3931,33,23/08/2015,H,FALSE,R16,3,5718,FRA,,Q,140,396,,,24.435318,188,5370,SLO,,,58,821,,,26.099932,181,6-3 6-0,,2,0,12,3,0,0,TRUE,163941,0,,8,2,52,35,29,9,8,5,5,4,4,45,22,12,9,7,3,7
172602,4140,270,13/08/2018,H,FALSE,R32,3,3819,SUI,2,,2,6480,,,37.013004,185,5367,GER,,,47,1013,,,29.078712,185,6-4 6-4,,2,0,12,8,0,0,TRUE,172602,0,72,12,4,61,39,31,15,10,5,5,11,3,64,35,29,11,10,2,4
172267,4130,284,16/07/2018,C,FALSE,R32,3,4619,ITA,,Q,153,361,,,32.769337,183,6134,ESP,,,78,746,,,25.314169,183,4-6 6-3 6-4,,2,1,16,13,0,0,TRUE,172267,0,134,2,0,94,66,48,14,15,7,9,1,4,79,55,36,14,14,2,5
163762,3928,11,3/08/2015,H,FALSE,R64,3,4423,JPN,,,102,515,,,30.907597,178,5971,BAR,,Q,206,238,,,23.268993,,6-2 6-1,,2,0,12,3,0,0,TRUE,163762,0,,0,1,41,23,21,10,8,1,2,1,3,43,31,13,6,7,4,9
177214,4253,285,12/10/2020,H,FALSE,R32,3,6407,RUS,1,,6,5890,,,24.668036,198,4752,FRA,,,53,1030,,,34.31896,185,3-6 6-3 6-0,,2,1,15,9,0,0,TRUE,177214,0,97,22,3,62,41,34,13,12,2,3,0,3,83,52,37,9,12,2,6
175237,4206,260,5/08/2019,H,FALSE,R64,3,27834,POL,,AL,48,1023,,,22.477755,196,26006,USA,,,25,1580,,,21.768652,193,6-3 7-5,,2,0,13,8,0,0,TRUE,175237,0,74,7,3,67,52,40,6,11,4,5,7,1,60,38,26,10,10,2,5
176942,4248,291,14/09/2020,C,FALSE,R16,3,26413,ITA,4,,8,2940,,,24.424366,196,5868,ITA,,WC,84,719,,,28.741957,185,7-6(5) 7-6(1),,2,0,12,12,2,0,TRUE,176942,0,119,3,0,70,51,36,14,12,1,3,6,3,82,50,34,18,12,7,9
