1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
177402,4259,295,16/11/2020,H,TRUE,RR,3,4920,SRB,1,,1,11830,,,33.48939,188,6029,ARG,8,,9,3455,,,28.251883,170,6-3 6-2,,2,0,12,5,0,0,TRUE,177402,0,78,7,2,47,30,23,11,9,1,2,1,1,52,32,20,7,8,2,6,1.11,6.75,11.76,11.79,4.37,1.41,3.5,1.34
177403,4259,294,16/11/2020,H,TRUE,RR,3,6407,RUS,4,,4,6970,,,24.76386,198,644,GER,5,,7,5525,,,23.575634,198,6-3 6-4,,2,0,12,7,0,0,TRUE,177403,0,89,4,2,63,42,31,12,10,5,6,3,7,68,49,34,4,9,6,9,1.71,2.15,3.56,4.57,3.94,2.77,2.25,1.68
177406,4259,291,16/11/2020,H,TRUE,RR,3,6219,AUT,3,,3,9125,,,27.203285,185,4742,ESP,2,,2,9850,,,34.455853,185,7-6(7) 7-6(4),,2,0,12,12,2,0,TRUE,177406,0,145,6,2,87,51,39,19,12,1,2,2,1,80,48,33,19,12,4,5,1.49,2.65,4.4,5.33,3.8,2.27,2.4,1.63
177411,4259,286,16/11/2020,H,TRUE,RR,3,26577,GRE,6,,6,5925,,,22.264202,193,25897,RUS,7,,8,3919,,,23.074606,188,6-1 4-6 7-6(6),,2,1,16,13,1,0,TRUE,177411,0,115,10,0,83,57,46,15,15,0,1,6,2,95,59,44,17,14,7,9,1.76,2.1,3.5,4.43,3.97,2.82,2.3,1.7
177405,4259,292,16/11/2020,H,TRUE,RR,3,644,GER,5,,7,5525,,,23.575634,198,6029,ARG,8,,9,3455,,,28.251883,170,6-3 4-6 6-3,,2,1,16,12,0,0,TRUE,177405,0,131,10,3,82,60,44,10,14,6,9,0,3,93,59,36,16,14,7,12,1.31,3.53,6.22,6.94,3.92,1.79,2.75,1.53
177400,4259,297,16/11/2020,H,TRUE,RR,3,6407,RUS,4,,4,6970,,,24.76386,198,4920,SRB,1,,1,11830,,,33.48939,188,6-3 6-3,,2,0,12,6,0,0,TRUE,177400,0,81,10,4,56,38,30,11,9,1,1,3,5,68,40,27,12,9,5,8,1.38,3.11,5.28,5.91,3.72,2.03,2.55,1.6
177410,4259,287,16/11/2020,H,TRUE,RR,3,25897,RUS,7,,8,3919,,,23.074606,188,6219,AUT,3,,3,9125,,,27.203285,185,6-2 7-5,,2,0,13,7,0,0,TRUE,177410,0,74,11,0,52,35,28,11,10,0,1,10,3,70,50,33,7,10,6,10,1.58,2.41,4.03,5.08,3.91,2.41,2.38,1.62
177407,4259,290,16/11/2020,H,TRUE,RR,3,4742,ESP,2,,2,9850,,,34.455853,185,26577,GRE,6,,6,5925,,,22.264202,193,6-4 4-6 6-2,,2,1,16,12,0,0,TRUE,177407,0,124,8,1,72,47,38,15,14,1,3,8,4,79,45,33,15,14,4,8,1.39,3.05,5.24,5.93,3.69,2.08,2.5,1.61
177401,4259,296,16/11/2020,H,TRUE,RR,3,4920,SRB,1,,1,11830,,,33.48939,188,644,GER,5,,7,5525,,,23.575634,198,6-3 7-6(4),,2,0,12,9,1,0,TRUE,177401,0,96,3,3,78,51,40,14,11,3,3,12,6,57,43,36,5,10,3,4,1.32,3.46,5.93,6.82,3.83,1.84,2.6,1.53
177404,4259,293,16/11/2020,H,TRUE,RR,3,6407,RUS,4,,4,6970,,,24.76386,198,6029,ARG,8,,9,3455,,,28.251883,170,6-3 6-3,,2,0,12,6,0,0,TRUE,177404,0,73,4,1,54,40,35,5,9,2,2,0,0,60,36,23,12,9,6,9,1.3,3.58,6.27,7.2,4.22,1.74,3.05,1.45
