date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 19/06/2017,"Andrey Rublev 
						RUB
				","Albert Ramos Vinolas 
						RAM
				","
				2.28
			","
				1.61
			","
				2.47
			","
				3.83
			","
				4.77
			","
				3.79
			","
						2.37
					","
						1.53
					"
 19/06/2017,"Joao Sousa 
						SOU
				","Philipp Kohlschreiber 
						KOH
				","
				4.50
			","
				1.19
			","
				1.54
			","
				4.04
			","
				8.70
			","
				7.80
			","
						3.25
					","
						1.42
					"
 19/06/2017,"Dustin Brown 
						BRO
				","Vasek Pospisil 
						POS
				","
				2.58
			","
				1.49
			","
				2.27
			","
				3.72
			","
				5.08
			","
				4.08
			","
						2.37
					","
						1.53
					"
 19/06/2017,"Gael Monfils 
						MON
				","Richard Gasquet 
						GAS
				","
				1.70
			","
				2.12
			","
				3.52
			","
				4.53
			","
				3.85
			","
				2.68
			","
						2.37
					","
						1.63
					"
 19/06/2017,"Maximilian Marterer 
						MAR
				","Dominic Thiem 
						THI
				","
				5.04
			","
				1.16
			","
				1.48
			","
				4.10
			","
				9.00
			","
				8.13
			","
						3.40
					","
						1.30
					"
 20/06/2017,"Kei Nishikori 
						NIS
				","Fernando Verdasco 
						VER
				","
				1.41
			","
				2.83
			","
				4.97
			","
				5.98
			","
				3.75
			","
				2.04
			","
						2.62
					","
						1.56
					"
 20/06/2017,"Lukas Lacko 
						LAC
				","Mischa Zverev 
						ZVE
				","
				3.03
			","
				1.37
			","
				1.93
			","
				3.74
			","
				6.00
			","
				5.38
			","
						2.62
					","
						1.44
					"
 20/06/2017,"Roberto Bautista Agut 
						BAU
				","Carlos Berlocq 
						BER
				","
				1.08
			","
				7.90
			","
				12.50
			","
				13.25
			","
				4.50
			","
				1.29
			","
						4.50
					","
						1.16
					"
 20/06/2017,"Robin Haase 
						HAA
				","David Ferrer 
						FER
				","
				1.72
			","
				2.09
			","
				3.42
			","
				4.37
			","
				3.96
			","
				2.76
			","
						2.37
					","
						1.63
					"
 20/06/2017,"Karen Khachanov 
						KHA
				","Gilles Simon 
						SIM
				","
				2.04
			","
				1.76
			","
				2.79
			","
				3.99
			","
				4.37
			","
				3.37
			","
						2.37
					","
						1.61
					"
 20/06/2017,"Tommy Haas 
						HAA
				","Bernard Tomic 
						TOM
				","
				1.89
			","
				1.88
			","
				3.03
			","
				4.25
			","
				4.25
			","
				3.01
			","
						2.25
					","
						1.63
					"
 20/06/2017,"Benoit Paire 
						PAI
				","Florian Mayer 
						MAY
				","
				1.90
			","
				1.89
			","
				2.90
			","
				4.02
			","
				4.32
			","
				3.15
			","
						2.37
					","
						1.63
					"
 20/06/2017,"Paolo Lorenzi 
						LOR
				","Alexander Zverev 
						ZVE
				","
				10.70
			","
				1.04
			","
				1.21
			","
				5.36
			","
				19.40
			","
				16.60
			","
						5.50
					","
						1.29
					"
 20/06/2017,"Jan-Lennard Struff 
						STR
				","Lucas Pouille 
						POU
				","
				2.29
			","
				1.60
			","
				2.55
			","
				3.83
			","
				4.68
			","
				3.78
			","
						2.37
					","
						1.63
					"
