match_id,tournament_event_id,match_num,date,surface,indoor,round,best_of,winner_id,winner_country_id,winner_seed,winner_entry,winner_rank,winner_rank_points,winner_elo_rating,winner_next_elo_rating,winner_age,winner_height,loser_id,loser_country_id,loser_seed,loser_entry,loser_rank,loser_rank_points,loser_elo_rating,loser_next_elo_rating,loser_age,loser_height,score,outcome,w_sets,l_sets,w_games,l_games,w_tbs,l_tbs,has_stats,match_id,set,minutes,w_ace,w_df,w_sv_pt,w_1st_in,w_1st_won,w_2nd_won,w_sv_gms,w_bp_sv,w_bp_fc,l_ace,l_df,l_sv_pt,l_1st_in,l_1st_won,l_2nd_won,l_sv_gms,l_bp_sv,l_bp_fc
157453,3780,5,2013-06-16,G,f,R32,3,5528,RUS,,,73,684,,,23.10746,185,4544,USA,3,,21,1735,,,28.142368,206,6-7(3) 6-3 6-4,,2,1,18,13,0,1,t,157453,0,92,8,3,85,55,46,20,16,0,0,18,1,81,56,46,13,15,0,2
157543,3782,37,2013-06-24,G,f,R128,5,4544,USA,18,,21,1735,,,28.161533,206,5528,RUS,,,66,729,,,23.126625,185,6-1 7-6(5) 7-6(3),,3,0,18,13,2,0,t,157543,0,103,22,1,95,71,55,19,16,0,0,4,4,95,62,47,15,15,2,4
157589,3782,83,2013-06-24,G,f,R64,5,5166,FRA,,,111,511,,,24.985626,183,4544,USA,18,,21,1735,,,28.161533,206,1-1 RET,RET,0,0,1,1,0,0,t,157589,0,15,1,1,5,4,4,0,1,0,0,1,0,5,4,4,1,1,0,0
157684,3784,24,2013-07-08,G,f,R16,3,4544,USA,2,,19,1770,,,28.199863,206,5166,FRA,,,75,683,,,25.023956,183,6-0 7-6(7),,2,0,12,6,1,0,t,157684,0,60,13,0,48,35,33,9,9,0,0,2,6,56,31,25,9,9,0,3
157688,3784,28,2013-07-08,G,f,QF,3,4544,USA,2,,19,1770,,,28.199863,206,3333,CRO,,,167,310,,,34.35729,208,7-6(3) 7-6(3),,2,0,12,12,2,0,t,157688,0,98,23,1,77,56,45,15,12,0,0,14,3,75,53,41,13,12,0,0
157819,3788,27,2013-07-22,H,f,F,3,4544,USA,1,,22,1610,,,28.238194,206,4728,RSA,2,,21,1635,,,27.178644,203,6-7(3) 7-6(2) 7-6(2),,2,1,18,18,2,1,t,157819,0,174,24,0,136,90,73,24,18,11,11,21,6,112,71,60,24,18,1,1
157947,3792,47,2013-07-29,H,f,F,3,5216,ARG,1,,7,4500,,,24.845995,198,4544,USA,8,,20,1770,,,28.257359,206,3-6 6-1 6-2,,2,1,15,9,0,0,t,157947,0,89,2,1,66,44,36,12,12,4,5,6,4,65,43,30,8,12,2,6
157961,3793,14,2013-08-05,H,f,R64,3,5565,CAN,,WC,71,696,,,23.118412,193,4544,USA,,,20,1935,,,28.276524,206,5-7 7-6(5) 7-6(4),,2,1,17,19,2,0,t,157961,0,152,16,4,126,68,52,33,18,10,12,24,3,106,75,57,21,18,5,6
158008,3794,6,2013-08-11,H,f,R64,3,4544,USA,,,22,1585,,,28.295689,206,4252,GER,,,47,940,,,29.853525,190,6-3 6-4,,2,0,12,7,0,0,t,158008,0,62,17,0,51,35,29,12,10,0,0,3,5,57,25,18,16,9,3,5
158030,3794,28,2013-08-11,H,f,R32,3,4544,USA,,,22,1585,,,28.295689,206,4752,FRA,8,,11,2625,,,27.151266,185,7-6(6) 6-2,,2,0,12,8,1,0,t,158030,0,82,10,2,66,36,33,16,10,1,1,4,4,64,30,21,22,10,3,5
158044,3794,42,2013-08-11,H,f,R16,3,4544,USA,,,22,1585,,,28.295689,206,5670,CAN,12,,10,2645,,,22.625599,196,7-6(5) 6-4,,2,0,12,10,1,0,t,158044,0,97,13,2,67,39,32,18,11,0,1,4,3,75,47,33,16,11,6,8
158051,3794,49,2013-08-11,H,f,QF,3,4544,USA,,,22,1585,,,28.295689,206,4920,SRB,1,,1,11400,,,26.225872,188,7-6(5) 3-6 7-5,,2,1,16,17,1,0,t,158051,0,144,9,0,93,69,55,15,16,3,4,9,5,127,85,62,24,17,9,10
