match_id,tournament_event_id,match_num,date,surface,indoor,round,best_of,winner_id,winner_country_id,winner_seed,winner_entry,winner_rank,winner_rank_points,winner_elo_rating,winner_next_elo_rating,winner_age,winner_height,loser_id,loser_country_id,loser_seed,loser_entry,loser_rank,loser_rank_points,loser_elo_rating,loser_next_elo_rating,loser_age,loser_height,score,outcome,w_sets,l_sets,w_games,l_games,w_tbs,l_tbs,has_stats,match_id,set,minutes,w_ace,w_df,w_sv_pt,w_1st_in,w_1st_won,w_2nd_won,w_sv_gms,w_bp_sv,w_bp_fc,l_ace,l_df,l_sv_pt,l_1st_in,l_1st_won,l_2nd_won,l_sv_gms,l_bp_sv,l_bp_fc
168067,4031,282,2017-02-13,H,t,R32,3,4541,FRA,6,,14,2730,,,31.827515,188,26577,GRE,,WC,205,268,,,18.507872,193,6-4 7-6(2),,2,0,12,10,1,0,t,168067,0,89,4,0,65,48,34,7,11,0,3,2,1,63,38,25,10,11,2,6
168131,4033,283,2017-02-20,H,t,R32,3,4022,RUS,,,87,631,,,34.658455,183,26577,GRE,,WC,205,268,,,18.527037,193,6-1 4-6 7-5,,2,1,17,12,0,0,t,168131,0,130,3,7,86,51,38,19,15,2,5,7,0,104,56,36,22,14,7,12
169007,4052,152,2017-05-29,C,f,R128,5,3333,CRO,23,,24,1820,,,38.247776,208,26577,GRE,,,205,264,,,18.795345,193,7-6(5) 7-5 6-4,,3,0,19,15,1,0,t,169007,0,134,10,3,93,63,53,19,17,3,4,8,6,116,59,47,27,17,4,7
169298,4059,146,2017-07-03,G,f,R128,5,5571,SRB,,,79,661,,,27.008898,180,26577,GRE,,,192,286,,,18.89117,193,6-4 6-4 6-4,,3,0,18,12,0,0,t,169298,0,120,4,3,100,69,50,21,15,5,5,11,2,90,49,39,18,15,5,8
169984,4073,273,2017-09-18,H,t,R32,3,5324,FRA,7,,41,1085,,,28.364134,196,26577,GRE,,Q,120,483,,,19.101984,193,6-2 6-4,,2,0,12,6,0,0,t,169984,0,57,3,2,51,29,22,14,9,6,7,4,1,52,38,24,6,9,3,7
170040,4075,276,2017-09-25,H,f,R32,3,11549,USA,,,58,858,,,20.960985,,26577,GRE,,Q,117,487,,,19.12115,193,6-7(2) 7-5 7-5,,2,1,20,16,0,1,t,170040,0,145,9,3,110,65,51,26,18,5,6,12,7,101,50,44,30,18,3,6
170136,4078,285,2017-10-02,H,f,R32,3,5220,CRO,1,,5,4155,,,29.010267,198,26577,GRE,,Q,115,491,,,19.140314,193,6-3 6-2,,2,0,12,5,0,0,t,170136,0,73,8,3,48,29,24,11,9,0,1,2,2,50,30,22,4,8,7,11
170162,4079,251,2017-10-09,H,f,R64,3,26577,GRE,,Q,131,444,,,19.15948,193,11547,RUS,,,40,1125,,,21.385353,198,7-5 6-3,,2,0,13,8,0,0,t,170162,0,74,11,0,55,34,31,13,11,0,0,3,2,64,39,28,12,10,2,4
170216,4080,282,2017-10-16,H,t,R32,3,26577,GRE,,Q,122,466,,,19.178644,193,4654,URU,6,,33,1325,,,31.789185,180,6-1 6-4,,2,0,12,5,0,0,t,170216,0,56,7,2,48,31,25,12,9,0,0,2,4,52,25,18,11,8,2,5
170225,4080,292,2017-10-16,H,t,R16,3,26577,GRE,,Q,122,466,,,19.178644,193,3333,CRO,,,51,910,,,38.631073,208,7-6(4) 5-6 RET,RET,1,1,11,12,1,0,t,170225,0,91,7,2,66,43,37,13,11,1,1,9,5,59,41,37,13,12,0,0
170230,4080,297,2017-10-16,H,t,QF,3,26577,GRE,,Q,122,466,,,19.178644,193,5663,BEL,1,,10,2885,,,26.858316,163,2-6 7-6(1) 7-6(4),,2,1,14,18,2,0,t,170230,0,153,12,2,124,68,55,17,16,14,19,6,5,98,59,41,22,16,4,7
170232,4080,299,2017-10-16,H,t,SF,3,6029,ARG,4,,26,1720,,,25.166325,170,26577,GRE,,Q,122,466,,,19.178644,193,6-3 7-5,,2,0,13,8,0,0,t,170232,0,86,4,3,55,37,26,9,10,0,2,5,2,72,40,28,10,11,5,10
170456,4088,283,2018-01-01,H,f,R32,3,26577,GRE,,Q,91,606,,,19.38946,193,4252,GER,,,69,718,,,34.2423,190,4-6 7-5 6-4,,2,1,17,15,0,0,t,170456,0,120,10,0,84,52,43,14,16,2,5,0,1,106,63,45,20,16,7,11
170465,4088,292,2018-01-01,H,f,R16,3,26577,GRE,,Q,91,606,,,19.38946,193,4752,FRA,5,,31,1375,,,31.540041,185,6-3 6-4,,2,0,12,7,0,0,t,170465,0,71,4,2,59,36,31,11,10,0,0,2,0,56,42,27,9,9,1,3
170470,4088,297,2018-01-01,H,f,QF,3,6219,AUT,1,,5,4015,,,24.328543,185,26577,GRE,,Q,91,606,,,19.38946,193,7-5 6-4,,2,0,13,9,0,0,t,170470,0,100,7,4,70,45,33,13,11,6,7,4,3,76,49,32,11,11,2,5
170510,4090,282,2018-01-08,H,f,R32,3,5034,SVK,,LL,90,605,,,30.182068,185,26577,GRE,,WC,80,655,,,19.408625,193,6-3 6-7(5) 6-3,,2,1,18,12,0,1,t,170510,0,108,12,3,100,59,50,18,16,2,3,12,1,82,52,40,14,14,0,3
170798,4096,276,2018-02-05,H,t,R32,3,4868,FRA,,,91,605,,,30.98152,188,26577,GRE,,,78,678,,,19.485285,193,4-6 7-5 7-5,,2,1,18,16,0,0,t,170798,0,133,7,4,99,64,49,19,17,4,6,16,1,98,54,43,22,17,3,6
