match_id,tournament_event_id,match_num,date,surface,indoor,round,best_of,winner_id,winner_country_id,winner_seed,winner_entry,winner_rank,winner_rank_points,winner_elo_rating,winner_next_elo_rating,winner_age,winner_height,loser_id,loser_country_id,loser_seed,loser_entry,loser_rank,loser_rank_points,loser_elo_rating,loser_next_elo_rating,loser_age,loser_height,score,outcome,w_sets,l_sets,w_games,l_games,w_tbs,l_tbs,has_stats,match_id,set,minutes,w_ace,w_df,w_sv_pt,w_1st_in,w_1st_won,w_2nd_won,w_sv_gms,w_bp_sv,w_bp_fc,l_ace,l_df,l_sv_pt,l_1st_in,l_1st_won,l_2nd_won,l_sv_gms,l_bp_sv,l_bp_fc
171478,4112,265,43206,C,f,R64,3,4920,SRB,9,0,13,2310,0,0,30.902122,188,5571,SRB,0,Q,93,639,0,0,27.79466,180,6-0 6-1,0,2,0,12,1,0,0,t,171478,0,56,1,2,45,28,23,9,7,4,4,0,1,36,18,6,6,6,4,9
171697,4118,275,43227,C,f,R32,3,33214,CAN,0,0,43,1128,0,0,19.060917,185,5324,FRA,0,0,50,1020,0,0,28.996578,196,7-6(5) 4-6 6-4,0,2,1,16,16,1,0,t,171697,0,129,8,6,102,57,43,24,16,6,9,8,7,98,54,43,21,16,4,7
171511,4112,299,43206,C,f,SF,3,4742,ESP,1,0,1,8770,0,0,31.868584,185,5763,BUL,4,0,5,4635,0,0,26.918549,188,6-4 6-1,0,2,0,12,5,0,0,t,171511,0,92,0,1,53,35,22,13,9,1,2,2,5,52,33,20,5,8,4,8
171582,4114,296,43213,C,f,QF,3,5370,SLO,5,0,57,922,0,0,28.76386,181,32067,ITA,0,Q,159,352,0,0,22.951403,191,6-3 2-6 6-2,0,2,1,14,11,0,0,t,171582,0,142,1,0,83,49,39,16,13,8,10,2,3,100,62,43,17,12,14,17
171712,4118,290,43227,C,f,R16,3,4728,RSA,6,0,8,3345,0,0,31.969883,203,4259,GER,0,0,28,1450,0,0,34.55715,178,6-3 7-6(7),0,2,0,12,9,1,0,t,171712,0,92,10,4,64,39,30,14,11,1,3,4,1,71,47,27,14,10,2,5
171035,4104,287,43150,C,f,R16,3,4269,ESP,8,0,40,1260,0,0,34.264202,188,6030,ARG,0,0,86,660,0,0,25.511293,0,6-7(3) 6-2 6-0,0,2,1,18,8,0,1,t,171035,0,126,7,3,92,64,44,13,13,4,5,3,6,84,52,32,10,13,3,9
171406,4110,278,43199,C,f,R32,3,5978,USA,7,0,54,945,0,0,25.92197,183,44999,SRB,0,Q,187,309,0,0,18.606434,183,6-4 6-3,0,2,0,12,7,0,0,t,171406,0,76,11,1,57,36,30,12,10,0,0,3,6,60,32,23,14,9,3,5
171617,4116,275,43220,C,f,R32,3,6107,JPN,0,0,114,491,0,0,25.253935,0,26413,ITA,0,0,102,594,0,0,22.047913,196,7-5 6-3,0,2,0,13,8,0,0,t,171617,0,95,4,2,70,46,33,15,11,3,4,5,2,67,39,27,11,10,5,8
171132,4107,295,43157,C,t,QF,3,4654,URU,3,0,31,1470,0,0,32.15332,180,4914,ARG,5,0,49,999,0,0,30.787132,188,6-2 6-7(13) 7-6(5),0,2,1,18,14,1,1,t,171132,0,176,6,2,112,75,58,23,16,1,2,7,1,118,65,50,30,16,5,8
170877,4099,273,43143,C,f,R32,3,5658,POR,0,LL,114,502,0,0,27.219713,178,6134,ESP,0,SE,76,728,0,0,24.89254,183,6-2 6-4,0,2,0,12,6,0,0,t,170877,0,87,4,3,56,32,24,11,9,3,4,1,2,59,37,20,12,9,0,4
171613,4115,300,43220,C,f,F,3,5303,POR,0,0,68,805,0,0,29.084188,185,26010,USA,0,0,64,823,0,0,20.273785,188,6-4 6-4,0,2,0,12,8,0,0,t,171613,0,79,4,0,57,34,26,12,10,4,6,3,5,55,34,25,9,10,6,10
171554,4113,295,43213,C,f,QF,3,26577,GRE,0,0,63,822,0,0,19.696098,193,6219,AUT,3,0,7,3755,0,0,24.635181,185,6-3 6-2,0,2,0,12,5,0,0,t,171554,0,80,2,0,52,29,21,15,9,1,2,0,4,53,27,19,9,8,4,8
171538,4113,279,43213,C,f,R32,3,4664,ESP,0,LL,153,376,0,0,32.246407,180,6202,USA,0,Q,106,536,0,0,24.761122,0,6-4 6-3,0,2,0,12,7,0,0,t,171538,0,87,1,2,70,50,30,11,10,5,7,6,2,58,33,18,13,9,11,15
171683,4118,258,43227,C,f,R64,3,4752,FRA,0,0,29,1430,0,0,31.88501,185,4606,CZE,14,0,17,2060,0,0,32.63518,196,6-4 6-2,0,2,0,12,6,0,0,t,171683,0,76,2,1,45,24,20,16,9,0,0,2,0,58,35,19,14,9,3,6
171705,4118,283,43227,C,f,R32,3,6418,CRO,0,0,35,1296,0,0,21.475702,188,5515,GER,0,0,65,855,0,0,28.032854,193,6-0 6-2,0,2,0,12,2,0,0,t,171705,0,70,7,0,42,26,19,11,7,2,2,3,2,69,45,24,7,7,12,17
171445,4111,288,43199,C,f,R16,3,4752,FRA,4,0,38,1295,0,0,31.80835,185,4198,ESP,0,0,67,787,0,0,34.847366,188,6-2 6-4,0,2,0,12,6,0,0,t,171445,0,83,2,3,42,29,23,8,9,1,3,2,4,72,42,25,12,9,8,13
171588,4115,272,43220,C,f,R32,3,6106,ESP,0,Q,206,287,0,0,25.256674,0,6379,POR,0,WC,263,198,0,0,23.118412,0,6-4 7-5,0,2,0,13,9,0,0,t,171588,0,97,3,0,73,49,31,12,11,7,10,2,2,59,34,18,13,11,1,6
171044,4104,296,43150,C,f,QF,3,11769,CHI,0,0,94,596,0,0,22.360027,0,4654,URU,7,0,33,1380,0,0,32.134155,180,7-5 6-3,0,2,0,13,8,0,0,t,171044,0,83,4,2,72,50,35,14,11,4,4,2,3,54,36,27,10,10,2,4
171690,4118,267,43227,C,f,R64,3,3852,ESP,0,0,30,1420,0,0,36.62697,188,4664,ESP,0,WC,134,425,0,0,32.284737,180,7-6(4) 6-3,0,2,0,12,9,1,0,t,171690,0,100,12,3,75,48,38,10,11,3,5,2,1,76,55,35,8,10,3,6
171649,4117,280,43220,C,f,R32,3,4893,GER,0,WC,163,336,0,0,31.077345,188,5055,KAZ,0,0,96,634,0,0,30.343601,183,7-6(8) 3-6 6-3,0,2,1,15,15,1,0,t,171649,0,162,10,2,108,69,50,14,15,7,10,4,2,138,88,56,25,15,17,20
171727,4119,243,43234,C,f,R64,3,6051,ITA,0,WC,73,778,0,0,25.61807,185,4654,URU,0,0,71,790,0,0,32.364136,180,2-6 7-5 6-4,0,2,1,15,15,0,0,t,171727,0,126,6,4,92,73,56,4,15,2,4,5,0,95,60,41,20,15,2,4
171694,4118,272,43227,C,f,R32,3,4654,URU,0,0,47,1060,0,0,32.34497,180,5070,ESP,0,0,42,1145,0,0,30.302532,188,6-1 6-7(2) 6-2,0,2,1,18,9,0,1,t,171694,0,119,15,0,67,46,41,17,14,0,0,4,1,85,56,34,18,13,6,10
170737,4095,5602,43134,C,f,RR,3,22510,PER,0,0,482,73,0,0,22.316221,0,5149,BOL,0,0,590,50,0,0,29.66735,0,7-6(8) 6-4,0,2,0,12,10,1,0,t,170737,0,99,19,4,64,39,35,16,11,0,0,7,6,81,51,39,14,11,7,8
171578,4114,292,43213,C,f,R16,3,20265,GER,0,LL,134,415,0,0,28.4846,185,9719,GER,0,0,74,731,0,0,22.855577,0,6-1 6-3,0,2,0,12,4,0,0,t,171578,0,80,1,0,54,36,22,13,8,2,3,1,1,62,46,26,4,8,8,13
171423,4110,297,43199,C,f,QF,3,5438,USA,6,0,51,975,0,0,28.290213,188,4544,USA,1,0,9,3125,0,0,32.95277,206,7-6(4) 4-6 7-6(5),0,2,1,16,18,2,0,t,171423,0,156,7,0,108,73,58,24,17,4,5,28,4,104,69,62,18,17,2,2
171578,4114,292,43213,C,f,R16,3,20265,GER,0,LL,134,415,0,0,28.4846,185,9719,GER,0,0,74,731,0,0,22.855577,0,6-1 6-3,0,2,0,12,4,0,0,t,171578,0,80,1,0,54,36,22,13,8,2,3,1,1,62,46,26,4,8,8,13
171479,4112,266,43206,C,f,R64,3,4467,FRA,0,WC,69,780,0,0,33.30048,183,5166,FRA,16,0,26,1655,0,0,29.79603,183,6-3 4-6 6-2,0,2,1,16,11,0,0,t,171479,0,142,2,0,93,61,38,15,14,10,15,1,1,76,51,26,12,13,8,15
170880,4099,277,43143,C,f,R32,3,6029,ARG,5,0,24,1810,0,0,25.492128,170,4887,AUT,0,PR,418,91,0,0,30.896646,190,6-4 6-3,0,2,0,12,7,0,0,t,170880,0,81,3,2,59,36,23,11,9,2,4,3,3,57,34,18,10,10,2,7
