match_id,tournament_event_id,match_num,date,surface,indoor,round,best_of,winner_id,winner_country_id,winner_seed,winner_entry,winner_rank,winner_rank_points,winner_elo_rating,winner_next_elo_rating,winner_age,winner_height,loser_id,loser_country_id,loser_seed,loser_entry,loser_rank,loser_rank_points,loser_elo_rating,loser_next_elo_rating,loser_age,loser_height,score,outcome,w_sets,l_sets,w_games,l_games,w_tbs,l_tbs,has_stats,match_id,set,minutes,w_ace,w_df,w_sv_pt,w_1st_in,w_1st_won,w_2nd_won,w_sv_gms,w_bp_sv,w_bp_fc,l_ace,l_df,l_sv_pt,l_1st_in,l_1st_won,l_2nd_won,l_sv_gms,l_bp_sv,l_bp_fc
170700,4093,1902,2/02/2018,G,f,RR,3,3499,PAK,,,1753,1,,,37.99863,,11777,KOR,,,776,23,,,20.583162,,4-6 7-5 7-5,,2,1,18,16,0,0,t,170700,0,162,4,3,116,54,39,32,17,8,11,7,6,100,59,44,21,17,7,11
170701,4093,2004,2/02/2018,G,f,RR,3,20633,PAK,,,1753,1,,,27.523615,,52586,KOR,,,,,,,16.271048,,7-6(2) 7-6(5),,2,0,12,12,2,0,t,170701,0,103,3,2,82,49,33,16,12,4,7,1,3,89,50,29,20,12,6,9
170699,4093,1801,2/02/2018,G,f,RR,3,3529,PAK,,,,,,,37.869953,183,26754,KOR,,,178,301,,,20.158794,180,6-3 1-6 7-6(6),,2,1,13,15,1,0,t,170699,0,104,20,4,78,52,43,12,14,4,7,6,1,81,49,35,22,14,0,2
171351,4093,13602,6/04/2018,G,f,RR,3,3499,PAK,,,1770,1,,,38.171116,,21950,UZB,,,378,110,,,23.676933,,6-7(6) 6-4 6-4,,2,1,18,14,0,1,t,171351,0,144,14,6,106,63,52,25,16,8,8,19,5,112,68,55,19,16,2,4
171352,4093,13704,6/04/2018,G,f,RR,3,4794,UZB,,,83,673,,,31.56742,188,3499,PAK,,,1770,1,,,38.171116,,6-1 6-3,,2,0,12,4,0,0,t,171352,0,58,6,1,40,22,19,11,8,0,1,0,4,54,21,13,11,8,6,11
171353,4093,13805,6/04/2018,G,f,RR,3,26741,UZB,,,906,14,,,19.430527,,52450,PAK,,,1770,1,,,18.387405,,6-3 6-1,,2,0,12,4,0,0,t,171353,0,50,8,3,46,25,20,12,8,4,5,4,4,51,33,18,6,8,2,7
171959,4123,271,11/06/2018,G,f,R32,3,5528,RUS,,,76,726,,,28.09035,185,5009,CRO,,Q,350,128,,,30.724161,193,6-3 6-2,,2,0,12,5,0,0,t,171959,0,75,2,2,61,34,21,18,9,6,7,2,2,59,35,20,11,8,6,10
171975,4123,290,11/06/2018,G,f,R16,3,5644,ROU,,,97,597,,,27.649555,193,5209,JPN,7,,53,970,,,29.727583,173,7-5 4-6 6-4,,2,1,17,15,0,0,t,171975,0,125,10,5,104,57,38,26,16,8,12,3,4,98,66,44,16,16,8,13
171960,4123,272,11/06/2018,G,f,R32,3,4291,TUN,,,61,907,,,34.390144,185,26647,AUS,,Q,214,276,,,20.188911,,6-2 6-3,,2,0,12,5,0,0,t,171960,0,57,6,1,44,23,21,9,8,0,1,6,1,53,37,20,7,9,2,7
171961,4123,273,11/06/2018,G,f,R32,3,26577,GRE,5,,37,1222,,,19.830254,193,5430,AUS,,LL,196,301,,,28.517454,,3-6 6-3 6-4,,2,1,15,13,0,0,t,171961,0,94,7,4,78,53,41,16,14,1,2,8,0,73,50,39,13,14,0,2
171962,4123,275,11/06/2018,G,f,R32,3,6407,RUS,,,52,974,,,22.32991,198,6012,IND,,,84,677,,,25.935661,183,6-4 6-1,,2,0,12,5,0,0,t,171962,0,64,10,0,44,32,25,8,8,1,1,1,3,59,41,23,8,9,2,6
171963,4123,276,11/06/2018,G,f,R32,3,6057,AUS,,Q,181,316,,,25.637236,193,10514,USA,,LL,165,340,,,27.282682,,6-4 6-2,,2,0,12,6,0,0,t,171963,0,72,4,0,57,39,29,9,9,7,8,6,5,63,36,27,7,9,7,11
171964,4123,277,11/06/2018,G,f,R32,3,4894,NED,6,,44,1120,,,31.181383,190,3333,CRO,,,90,630,,,39.282684,208,7-6(3) 6-7(5) 6-3,,2,1,18,15,1,1,t,171964,0,113,15,4,100,60,55,24,17,1,1,24,6,95,68,55,16,16,2,3
171965,4123,278,11/06/2018,G,f,R32,3,5209,JPN,7,,53,970,,,29.727583,173,5918,GEO,,,87,667,,,26.297056,185,6-3 6-2,,2,0,12,5,0,0,t,171965,0,60,3,1,49,35,29,8,9,3,3,1,5,59,35,23,9,8,4,7
171966,4123,279,11/06/2018,G,f,R32,3,5644,ROU,,,97,597,,,27.649555,193,5370,SLO,,,70,815,,,28.898016,181,6-7(6) 7-6(4) 6-3,,2,1,18,15,1,1,t,171966,0,144,15,6,122,65,53,35,17,5,5,13,2,103,65,49,24,16,5,6
171967,4123,280,11/06/2018,G,f,R32,3,5044,AUS,,,69,833,,,30.540726,188,5058,USA,,LL,125,454,,,30.44764,175,6-2 6-3,,2,0,12,5,0,0,t,171967,0,60,3,2,43,21,18,15,8,1,1,3,6,62,40,29,3,9,6,10
171968,4123,282,11/06/2018,G,f,R32,3,11429,USA,,WC,110,515,,,23.154005,,4311,ITA,8,,49,1010,,,34.302532,190,6-4 6-2,,2,0,12,6,0,0,t,171968,0,66,3,2,54,37,28,11,9,0,0,2,2,59,33,22,11,9,3,6
