match_id,tournament_event_id,match_num,date,surface,indoor,round,best_of,winner_id,winner_country_id,winner_seed,winner_entry,winner_rank,winner_rank_points,winner_elo_rating,winner_next_elo_rating,winner_age,winner_height,loser_id,loser_country_id,loser_seed,loser_entry,loser_rank,loser_rank_points,loser_elo_rating,loser_next_elo_rating,loser_age,loser_height,score,outcome,w_sets,l_sets,w_games,l_games,w_tbs,l_tbs,has_stats,match_id,set,minutes,w_ace,w_df,w_sv_pt,w_1st_in,w_1st_won,w_2nd_won,w_sv_gms,w_bp_sv,w_bp_fc,l_ace,l_df,l_sv_pt,l_1st_in,l_1st_won,l_2nd_won,l_sv_gms,l_bp_sv,l_bp_fc
170977,4102,287,19/02/2018,H,f,R16,3,11176,KOR,8,0,30,1472,0,0,21.754963,0,5009,CRO,0,Q,303,161,0,0,30.417522,193,6-4 7-6(4),0,2,0,12,10,1,0,t,170977,0,113,1,4,70,37,26,18,11,4,8,5,8,89,59,36,9,11,11,16
170477,4089,275,1/01/2018,H,f,R32,3,5902,HUN,0,0,85,630,0,0,25.897331,188,6030,ARG,0,0,95,590,0,0,25.377138,0,6-0 6-3,0,2,0,12,3,0,0,t,170477,0,55,2,0,36,26,21,7,7,0,0,2,2,49,27,12,11,8,4,9
170471,4088,298,1/01/2018,H,f,SF,3,25897,RUS,0,0,39,1229,0,0,20.199863,188,5539,ARG,0,0,64,774,0,0,27.627653,185,6-2 4-6 7-6(2),0,2,1,16,14,1,0,t,170471,0,145,2,11,117,76,55,14,15,7,11,3,0,101,74,44,12,15,6,11
171189,4108,257,5/03/2018,H,f,R64,3,5793,ESP,11,0,14,2315,0,0,26.647501,188,4546,ARG,0,0,66,813,0,0,32.85421,188,3-6 6-3 7-6(3),0,2,1,15,15,1,0,t,171189,0,158,10,3,93,59,44,20,15,5,7,4,4,115,67,47,23,15,12,14
170811,4096,291,5/02/2018,H,t,R16,3,5986,BIH,4,0,30,1471,0,0,25.713894,172,5067,BEL,0,0,121,478,0,0,30.061602,0,7-5 6-4,0,2,0,13,9,0,0,t,170811,0,88,0,4,68,39,21,14,11,3,8,3,7,72,42,22,10,11,7,14
170698,4093,1705,2/02/2018,H,f,RR,3,6238,BRA,0,0,365,118,0,0,24.281998,0,6218,DOM,0,0,468,75,0,0,24.416153,0,6-7(8) 6-1 6-4,0,2,1,18,11,0,1,t,170698,0,145,3,2,85,54,46,18,15,4,5,3,4,115,65,43,23,14,6,10
170940,4101,281,12/02/2018,H,t,R32,3,644,GER,3,0,4,4450,0,0,20.81588,198,3970,ESP,0,0,39,1280,0,0,35.865845,175,6-4 6-3,0,2,0,12,7,0,0,t,170940,0,84,4,1,66,45,29,10,9,9,11,0,4,64,46,25,6,10,1,6
170535,4091,279,8/01/2018,H,f,R32,3,5564,LTU,0,LL,138,407,0,0,27.550993,175,6095,AUS,0,WC,189,274,0,0,25.007528,0,5-7 7-5 6-4,0,2,1,18,16,0,0,t,170535,0,117,7,7,91,48,40,27,17,4,6,21,1,95,51,43,23,17,6,9
170958,4101,299,12/02/2018,H,t,SF,3,3819,SUI,1,0,2,9605,0,0,36.514717,185,4311,ITA,0,LL,81,686,0,0,33.976727,190,6-3 7-6(3),0,2,0,12,9,1,0,t,170958,0,84,9,2,67,42,32,14,10,2,3,7,0,69,43,29,11,11,2,5
170491,4089,291,1/01/2018,H,f,R16,3,4467,FRA,0,0,89,610,0,0,33.013004,183,5131,ESP,3,0,20,2015,0,0,29.716633,183,6-3 7-6(5),0,2,0,12,9,1,0,t,170491,0,122,4,2,86,49,34,19,11,3,5,0,4,75,43,30,15,10,4,7
170433,4087,291,1/01/2018,H,f,R16,3,6387,AUS,3,0,21,2010,0,0,22.683094,193,5044,AUS,0,0,76,670,0,0,30.099932,188,6-7(3) 7-6(5) 6-2,0,2,1,18,14,1,1,t,170433,0,132,13,2,100,62,53,21,16,2,2,11,2,105,78,58,16,16,5,7
171159,4108,216,5/03/2018,H,f,R128,3,6418,CRO,0,0,49,1026,0,0,21.303217,188,5375,USA,0,0,99,586,0,0,28.616016,183,6-0 6-2,0,2,0,12,2,0,0,t,171159,0,58,6,2,44,23,18,13,7,0,0,1,2,42,25,11,6,7,0,5
170793,4095,11204,3/02/2018,H,f,RR,3,6161,VEN,0,0,838,19,0,0,24.755648,0,5488,GUA,0,0,630,42,0,0,27.879534,0,4-6 6-3 6-0,0,2,1,16,9,0,0,t,170793,0,118,5,2,81,48,29,19,13,9,12,8,12,90,32,25,19,12,8,14
170473,4088,300,1/01/2018,H,f,F,3,4789,FRA,0,WC,46,1015,0,0,31.334702,193,25897,RUS,0,0,39,1229,0,0,20.199863,188,6-2 6-3,0,2,0,12,5,0,0,t,170473,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170499,4089,299,1/01/2018,H,f,SF,3,4467,FRA,0,0,89,610,0,0,33.013004,183,5220,CRO,1,0,6,3805,0,0,29.25941,198,1-6 6-3 6-2,0,2,1,13,11,0,0,t,170499,0,111,0,3,86,56,34,14,12,7,10,9,1,66,37,27,13,12,1,5
170777,4095,9602,3/02/2018,H,f,RR,3,11766,POL,0,0,213,249,0,0,22.045174,0,5629,SLO,0,0,195,271,0,0,27.318275,0,6-4 6-2,0,2,0,12,6,0,0,t,170777,0,67,6,1,47,29,25,13,9,1,1,3,0,57,31,20,15,9,5,8
170985,4102,295,19/02/2018,H,f,QF,3,33214,CAN,0,0,46,1031,0,0,18.850103,185,26006,USA,0,0,85,664,0,0,20.312115,193,7-5 6-4,0,2,0,13,9,0,0,t,170985,0,76,9,7,61,36,31,14,11,2,2,1,2,58,37,30,10,11,0,2
170552,4091,298,8/01/2018,H,f,SF,3,45105,AUS,0,SE,167,323,0,0,18.89117,183,5324,FRA,0,0,42,1155,0,0,28.670773,196,4-6 6-1 6-1,0,2,1,16,8,0,0,t,170552,0,109,3,3,95,62,45,16,12,7,8,6,5,74,34,27,13,12,3,8
170527,4090,300,8/01/2018,H,f,F,3,5131,ESP,5,0,21,1855,0,0,29.735798,183,5216,ARG,2,0,12,2595,0,0,29.292265,198,6-1 4-6 7-5,0,2,1,17,12,0,0,t,170527,0,127,7,4,85,55,42,15,15,2,4,9,1,79,49,33,17,14,1,5
171077,4105,298,26/02/2018,H,f,SF,3,5216,ARG,6,0,9,2745,0,0,29.42642,198,644,GER,2,0,5,4450,0,0,20.85421,198,6-4 6-2,0,2,0,12,6,0,0,t,171077,0,91,6,1,56,36,28,11,9,1,1,10,2,59,36,26,8,9,4,7
170479,4089,277,1/01/2018,H,f,R32,3,4894,NED,5,0,42,1130,0,0,30.74059,190,4879,SLO,0,0,97,581,0,0,30.8282,188,7-6(6) 7-5,0,2,0,13,11,1,0,t,170479,0,120,7,3,80,49,35,15,12,2,5,1,2,85,50,29,16,12,8,12
