date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 06/03/2018,"Dudi Sela 
						SEL
				","Noah Rubin 
						RUB
				","
				1.55
			","
				2.38
			","
				3.89
			","
				5.05
			","
				3.91
			","
				2.41
			","
						2.32
					","
						1.58
					"
 06/03/2018,"Mirza Basic 
						BAS
				","Mitchell Krueger 
						KRU
				","
				1.51
			","
				2.46
			","
				4.23
			","
				5.29
			","
				3.87
			","
				2.29
			","
						2.35
					","
						1.58
					"
 06/03/2018,"Nicolas Mahut 
						MAH
				","Goncalo Oliveira 
						OLI
				","
				1.12
			","
				5.60
			","
				9.08
			","
				10.08
			","
				4.07
			","
				1.45
			","
						3.04
					","
						1.36
					"
 06/03/2018,"Ricardo Ojeda Lara 
						OJE
				","Calvin Hemery 
						HEM
				","
				2.16
			","
				1.66
			","
				2.60
			","
				4.14
			","
				4.78
			","
				3.47
			","
						2.35
					","
						1.59
					"
 06/03/2018,"Kevin King 
						KIN
				","Alexander Bublik 
						BUB
				","
				2.29
			","
				1.58
			","
				2.49
			","
				3.93
			","
				4.85
			","
				3.73
			","
						2.32
					","
						1.61
					"
 06/03/2018,"Ruben Bemelmans 
						BEM
				","Tristan Boyer 
						BOY
				","
				1.02
			","
				11.11
			","
				21.67
			","
				21.33
			","
				5.49
			","
				1.17
			","
						5.40
					","
						1.14
					"
 06/03/2018,"Sebastian Korda 
						KOR
				","Tim Smyczek 
						SMY
				","
				5.86
			","
				1.11
			","
				1.42
			","
				4.10
			","
				10.50
			","
				10.13
			","
						3.26
					","
						1.32
					"
 06/03/2018,"Evan King 
						KIN
				","Martin Klizan 
						KLI
				","
				4.64
			","
				1.17
			","
				1.52
			","
				3.97
			","
				9.18
			","
				8.18
			","
						3.02
					","
						1.36
					"
 06/03/2018,"Taro Daniel 
						DAN
				","Evan Song 
						SON
				","
				1.08
			","
				7.15
			","
				11.92
			","
				13.17
			","
				4.42
			","
				1.33
			","
						3.54
					","
						1.28
					"
 06/03/2018,"Vasek Pospisil 
						POS
				","Brandon Nakashima 
						NAK
				","
				1.03
			","
				10.30
			","
				20.00
			","
				21.58
			","
				5.31
			","
				1.19
			","
						5.40
					","
						1.14
					"
 06/03/2018,"Vincent Millot 
						MIL
				","Yannick Hanfmann 
						HAN
				","
				2.11
			","
				1.68
			","
				2.62
			","
				4.08
			","
				4.70
			","
				3.49
			","
						2.33
					","
						1.61
					"
 06/03/2018,"Ricardas Berankis 
						BER
				","Darian King 
						KIN
				","
				1.90
			","
				1.84
			","
				2.92
			","
				4.35
			","
				4.37
			","
				3.02
			","
						2.28
					","
						1.60
					"
 07/03/2018,"Alexander Sarkissian 
						SAR
				","Mackenzie McDonald 
						MCD
				","
				3.54
			","
				1.27
			","
				1.78
			","
				3.79
			","
				7.17
			","
				6.08
			","
						2.70
					","
						1.48
					"
 07/03/2018,"Marcos Baghdatis 
						BAG
				","Thanasi Kokkinakis 
						KOK
				","
				1.86
			","
				1.89
			","
				3.11
			","
				4.36
			","
				4.30
			","
				3.00
			","
						2.28
					","
						1.63
					"
 07/03/2018,"Stefan Kozlov 
						KOZ
				","Adrian Menendez-Maceiras 
						MEN
				","
				1.62
			","
				2.20
			","
				3.57
			","
				4.85
			","
				3.91
			","
				2.51
			","
						2.28
					","
						1.60
					"
