date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 04/05/2019,"Roberto Carballes Baena 
						CAR
				","Ugo Humbert 
						HUM
				","
				1.26
			","
				3.69
			","
				6.24
			","
				7.76
			","
				3.98
			","
				1.72
			","
						3.02
					","
						1.35
					"
 04/05/2019,"Taylor Fritz 
						FRI
				","Nicola Kuhn 
						KUH
				","
				1.67
			","
				2.14
			","
				3.48
			","
				5.01
			","
				4.18
			","
				2.57
			","
						2.52
					","
						1.48
					"
 04/05/2019,"Hubert Hurkacz 
						HUR
				","Marcel Granollers 
						GRA
				","
				1.55
			","
				2.40
			","
				3.96
			","
				5.51
			","
				4.11
			","
				2.30
			","
						2.61
					","
						1.45
					"
 04/05/2019,"Marius Copil 
						COP
				","Nicolas Jarry 
						JAR
				","
				2.80
			","
				1.41
			","
				2.05
			","
				3.81
			","
				5.87
			","
				4.90
			","
						2.47
					","
						1.50
					"
 04/05/2019,"Albert Ramos Vinolas 
						RAM
				","Taro Daniel 
						DAN
				","
				1.40
			","
				2.87
			","
				4.73
			","
				6.41
			","
				4.04
			","
				2.00
			","
						2.76
					","
						1.41
					"
 04/05/2019,"Hugo Dellien 
						DEL
				","Leonardo Mayer 
						MAY
				","
				2.93
			","
				1.38
			","
				2.02
			","
				3.93
			","
				6.13
			","
				4.83
			","
						2.64
					","
						1.44
					"
 04/05/2019,"Benoit Paire 
						PAI
				","Casper Ruud 
						RUU
				","
				1.68
			","
				2.14
			","
				3.40
			","
				5.11
			","
				4.25
			","
				2.53
			","
						2.60
					","
						1.46
					"
 04/05/2019,"Mackenzie McDonald 
						MCD
				","Juan Ignacio Londero 
						LJI
				","
				2.80
			","
				1.41
			","
				2.02
			","
				3.90
			","
				5.79
			","
				4.91
			","
						2.65
					","
						1.48
					"
 04/05/2019,"Damir Dzumhur 
						DZU
				","Guido Andreozzi 
						AND
				","
				2.93
			","
				1.38
			","
				1.94
			","
				3.98
			","
				6.14
			","
				5.00
			","
						2.65
					","
						1.44
					"
 04/05/2019,"Bernard Tomic 
						TOM
				","Robin Haase 
						HAA
				","
				3.15
			","
				1.34
			","
				1.88
			","
				3.92
			","
				6.59
			","
				5.44
			","
						2.76
					","
						1.41
					"
 04/05/2019,"Ernests Gulbis 
						GUL
				","Martin Klizan 
						KLI
				","
				2.73
			","
				1.44
			","
				2.09
			","
				3.98
			","
				5.90
			","
				4.53
			","
						2.62
					","
						1.45
					"
 04/05/2019,"Mischa Zverev 
						ZVE
				","Reilly Opelka 
						OPE
				","
				4.09
			","
				1.22
			","
				1.67
			","
				3.78
			","
				7.75
			","
				7.15
			","
						2.74
					","
						1.41
					"
 04/05/2019,"Pierre-Hugues Herbert 
						HER
				","Denis Kudla 
						KUD
				","
				1.28
			","
				3.54
			","
				6.46
			","
				7.10
			","
				3.75
			","
				1.80
			","
						2.58
					","
						1.48
					"
 05/05/2019,"Hubert Hurkacz 
						HUR
				","Roberto Carballes Baena 
						CAR
				","
				1.80
			","
				1.98
			","
				3.16
			","
				4.71
			","
				4.36
			","
				2.82
			","
						2.56
					","
						1.56
					"
 05/05/2019,"Taylor Fritz 
						FRI
				","Marius Copil 
						COP
				","
				1.41
			","
				2.80
			","
				4.83
			","
				5.94
			","
				3.85
			","
				2.10
			","
						2.40
					","
						1.57
					"
 05/05/2019,"Nick Kyrgios 
						KYR
				","Jan-Lennard Struff 
						STR
				","
				1.81
			","
				2.00
			","
				3.33
			","
				4.46
			","
				4.10
			","
				2.85
			","
						2.38
					","
						1.64
					"
 05/05/2019,"Juan Ignacio Londero 
						LJI
				","Reilly Opelka 
						OPE
				","
				1.75
			","
				2.06
			","
				3.39
			","
				4.54
			","
				4.12
			","
				2.84
			","
						2.59
					","
						1.64
					"
 05/05/2019,"Casper Ruud 
						RUU
				","Albert Ramos Vinolas 
						RAM
				","
				1.72
			","
				2.08
			","
				3.33
			","
				4.85
			","
				4.32
			","
				2.72
			","
						2.53
					","
						1.56
					"
 05/05/2019,"Guido Andreozzi 
						AND
				","Hugo Dellien 
						DEL
				","
				1.67
			","
				2.16
			","
				3.43
			","
				5.03
			","
				4.24
			","
				2.56
			","
						2.55
					","
						1.47
					"
 05/05/2019,"Adrian Mannarino 
						MAN
				","Martin Klizan 
						KLI
				","
				3.24
			","
				1.32
			","
				1.87
			","
				4.01
			","
				7.18
			","
				5.50
			","
						2.91
					","
						1.44
					"
 05/05/2019,"Pierre-Hugues Herbert 
						HER
				","Robin Haase 
						HAA
				","
				1.66
			","
				2.17
			","
				3.58
			","
				4.93
			","
				4.13
			","
				2.63
			","
						2.48
					","
						1.60
					"
