date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 06/05/2019,"Reilly Opelka 
						OPE
				","Pablo Carreno Busta 
						CAR
				","
				2.09
			","
				1.73
			","
				2.74
			","
				3.95
			","
				4.53
			","
				3.31
			","
						2.42
					","
						1.62
					"
 06/05/2019,"Jaume Munar 
						MUN
				","Karen Khachanov 
						KHA
				","
				1.81
			","
				2.00
			","
				3.12
			","
				4.52
			","
				4.26
			","
				2.80
			","
						2.51
					","
						1.57
					"
 06/05/2019,"Dusan Lajovic 
						LAJ
				","Laslo Djere 
						DJE
				","
				1.69
			","
				2.18
			","
				3.42
			","
				4.79
			","
				4.05
			","
				2.58
			","
						2.53
					","
						1.57
					"
 06/05/2019,"Nikoloz Basilashvili 
						BAS
				","Frances Tiafoe 
						TIA
				","
				1.78
			","
				2.03
			","
				3.19
			","
				4.64
			","
				4.32
			","
				2.78
			","
						2.67
					","
						1.60
					"
 06/05/2019,"Marin Cilic 
						CIL
				","Martin Klizan 
						KLI
				","
				1.54
			","
				2.48
			","
				4.14
			","
				5.20
			","
				3.90
			","
				2.26
			","
						2.44
					","
						1.52
					"
 06/05/2019,"Philipp Kohlschreiber 
						KOH
				","Mikhail Kukushkin 
						KUK
				","
				1.35
			","
				3.20
			","
				5.52
			","
				6.62
			","
				3.93
			","
				1.89
			","
						2.86
					","
						1.50
					"
 06/05/2019,"Taylor Fritz 
						FRI
				","Grigor Dimitrov 
						DIM
				","
				2.75
			","
				1.45
			","
				2.15
			","
				3.72
			","
				5.46
			","
				4.63
			","
						2.38
					","
						1.55
					"
 06/05/2019,"Andreas Seppi 
						SEP
				","Gael Monfils 
						MON
				","
				3.64
			","
				1.28
			","
				1.73
			","
				3.87
			","
				7.01
			","
				6.38
			","
						2.83
					","
						1.44
					"
 06/05/2019,"Richard Gasquet 
						GAS
				","Alejandro Davidovich Fokina 
						DAV
				","
				2.96
			","
				1.40
			","
				1.99
			","
				3.93
			","
				6.23
			","
				5.01
			","
						2.83
					","
						1.52
					"
 06/05/2019,"Radu Albot 
						ALB
				","Fernando Verdasco 
						VER
				","
				2.49
			","
				1.54
			","
				2.33
			","
				3.94
			","
				5.27
			","
				4.07
			","
						2.40
					","
						1.56
					"
 07/05/2019,"Alex De Minaur 
						DEM
				","Hubert Hurkacz 
						HUR
				","
				3.07
			","
				1.37
			","
				1.87
			","
				3.91
			","
				6.13
			","
				5.21
			","
						2.72
					","
						1.48
					"
 07/05/2019,"David Goffin 
						GOF
				","Marton Fucsovics 
						FUC
				","
				1.58
			","
				2.35
			","
				3.91
			","
				5.02
			","
				3.96
			","
				2.36
			","
						2.52
					","
						1.56
					"
 07/05/2019,"Guido Pella 
						PEL
				","Daniil Medvedev 
						MED
				","
				2.38
			","
				1.57
			","
				2.34
			","
				3.95
			","
				5.10
			","
				3.89
			","
						2.45
					","
						1.57
					"
 07/05/2019,"Stanislas Wawrinka 
						WAW
				","Pierre-Hugues Herbert 
						HER
				","
				1.43
			","
				2.78
			","
				4.85
			","
				5.54
			","
				3.67
			","
				2.10
			","
						2.32
					","
						1.60
					"
 07/05/2019,"Adrian Mannarino 
						MAN
				","Joao Sousa 
						SOU
				","
				2.74
			","
				1.45
			","
				2.15
			","
				3.81
			","
				5.56
			","
				4.63
			","
						2.48
					","
						1.55
					"
 07/05/2019,"Diego Sebastian Schwartzman 
						SCH
				","Marco Cecchinato 
						CEC
				","
				1.94
			","
				1.85
			","
				2.91
			","
				4.42
			","
				4.45
			","
				3.05
			","
						2.56
					","
						1.61
					"
 07/05/2019,"Novak Djokovic 
						DJO
				","Taylor Fritz 
						FRI
				","
				1.11
			","
				6.58
			","
				11.66
			","
				11.22
			","
				4.23
			","
				1.38
			","
						3.48
					","
						1.30
					"
 07/05/2019,"Fabio Fognini 
						FOG
				","Kyle Edmund 
						EDM
				","
				1.81
			","
				1.97
			","
				3.09
			","
				4.47
			","
				4.36
			","
				2.85
			","
						2.59
					","
						1.60
					"
 07/05/2019,"Gilles Simon 
						SIM
				","Hugo Dellien 
						DEL
				","
				1.59
			","
				2.33
			","
				3.78
			","
				4.97
			","
				3.95
			","
				2.38
			","
						2.48
					","
						1.56
					"
 07/05/2019,"Jeremy Chardy 
						CHA
				","Albert Ramos Vinolas 
						RAM
				","
				2.69
			","
				1.46
			","
				2.15
			","
				3.86
			","
				5.55
			","
				4.52
			","
						2.68
					","
						1.55
					"
 07/05/2019,"Marin Cilic 
						CIL
				","Jan-Lennard Struff 
						STR
				","
				1.90
			","
				1.89
			","
				3.03
			","
				4.18
			","
				4.13
			","
				3.02
			","
						2.21
					","
						1.63
					"
 07/05/2019,"David Ferrer 
						FER
				","Roberto Bautista Agut 
						BAU
				","
				2.21
			","
				1.66
			","
				2.49
			","
				4.08
			","
				4.81
			","
				3.69
			","
						2.53
					","
						1.58
					"
 07/05/2019,"John Millman 
						MIL
				","Steve Johnson 
						JOH
				","
				1.70
			","
				2.14
			","
				3.44
			","
				4.68
			","
				4.08
			","
				2.61
			","
						2.59
					","
						1.58
					"
 07/05/2019,"Borna Coric 
						COR
				","Lucas Pouille 
						POU
				","
				1.42
			","
				2.83
			","
				4.92
			","
				5.75
			","
				3.76
			","
				2.09
			","
						2.43
					","
						1.56
					"
 07/05/2019,"Roger Federer 
						FED
				","Richard Gasquet 
						GAS
				","
				1.10
			","
				6.73
			","
				11.93
			","
				12.86
			","
				4.51
			","
				1.35
			","
						3.95
					","
						1.29
					"
 07/05/2019,"Reilly Opelka 
						OPE
				","Dominic Thiem 
						THI
				","
				5.81
			","
				1.13
			","
				1.47
			","
				3.95
			","
				10.19
			","
				10.69
			","
						3.15
					","
						1.37
					"
 08/05/2019,"Frances Tiafoe 
						TIA
				","Philipp Kohlschreiber 
						KOH
				","
				2.52
			","
				1.52
			","
				2.30
			","
				3.75
			","
				5.21
			","
				4.33
			","
						2.50
					","
						1.61
					"
 08/05/2019,"Kei Nishikori 
						NIS
				","Hugo Dellien 
						DEL
				","
				1.14
			","
				5.63
			","
				9.86
			","
				10.21
			","
				4.23
			","
				1.44
			","
						3.66
					","
						1.33
					"
 08/05/2019,"Jeremy Chardy 
						CHA
				","Diego Sebastian Schwartzman 
						SCH
				","
				3.09
			","
				1.37
			","
				1.89
			","
				3.80
			","
				6.09
			","
				5.25
			","
						2.67
					","
						1.50
					"
 08/05/2019,"Stanislas Wawrinka 
						WAW
				","Guido Pella 
						PEL
				","
				1.64
			","
				2.24
			","
				3.71
			","
				4.74
			","
				3.90
			","
				2.55
			","
						2.49
					","
						1.62
					"
