date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 12/05/2018,"Cameron Norrie 
						NOR
				","Federico Delbonis 
						DEL
				","
				3.27
			","
				1.30
			","
				1.81
			","
				3.73
			","
				6.38
			","
				5.50
			","
						1.85
					","
						1.83
					"
 12/05/2018,"Mischa Zverev 
						ZVE
				","Andrea Pellegrino 
						PEL
				","
				1.34
			","
				3.03
			","
				4.87
			","
				6.17
			","
				3.83
			","
				1.90
			","
						1.80
					","
						1.90
					"
 12/05/2018,"Thomas Fabbiano 
						FAB
				","Viktor Troicki 
						TRO
				","
				1.66
			","
				2.12
			","
				3.32
			","
				4.80
			","
				4.08
			","
				2.56
			","
						1.95
					","
						1.80
					"
 12/05/2018,"Marius Copil 
						COP
				","Nikoloz Basilashvili 
						BAS
				","
				2.00
			","
				1.74
			","
				2.61
			","
				4.14
			","
				4.46
			","
				3.28
			","
						1.90
					","
						1.80
					"
 12/05/2018,"Julien Benneteau 
						BEN
				","Liam Caruana 
						CAR
				","
				1.24
			","
				3.74
			","
				6.17
			","
				7.33
			","
				3.80
			","
				1.68
			","
						1.80
					","
						1.90
					"
 12/05/2018,"Marton Fucsovics 
						FUC
				","Filippo Baldi 
						BAL
				","
				1.10
			","
				6.05
			","
				10.00
			","
				11.83
			","
				4.35
			","
				1.36
			","
						1.80
					","
						1.90
					"
 12/05/2018,"Ruben Bemelmans 
						BEM
				","Guillermo García-López 
						GAR
				","
				3.91
			","
				1.22
			","
				1.64
			","
				3.73
			","
				7.63
			","
				6.75
			","
						1.83
					","
						1.85
					"
 12/05/2018,"Joao Sousa 
						SOU
				","Horacio Zeballos 
						ZEB
				","
				1.40
			","
				2.75
			","
				4.43
			","
				5.83
			","
				3.85
			","
				2.02
			","
						1.80
					","
						1.90
					"
 12/05/2018,"Frances Tiafoe 
						TIA
				","Salvatore Caruso 
						CAR
				","
				1.07
			","
				6.91
			","
				11.17
			","
				13.67
			","
				4.65
			","
				1.30
			","
						1.72
					","
						2.00
					"
 12/05/2018,"Nicolas Kicker 
						KIC
				","Nicolas Jarry 
						JAR
				","
				2.13
			","
				1.66
			","
				2.50
			","
				4.04
			","
				4.67
			","
				3.41
			","
						2.00
					","
						1.72
					"
 12/05/2018,"Malek Jaziri 
						JAZ
				","Evgeny Donskoy 
						DON
				","
				1.57
			","
				2.28
			","
				3.60
			","
				5.00
			","
				3.89
			","
				2.34
			","
						1.72
					","
						2.00
					"
 12/05/2018,"Mikhail Youzhny 
						YOU
				","Taylor Fritz 
						FRI
				","
				2.49
			","
				1.48
			","
				2.13
			","
				3.83
			","
				5.38
			","
				4.22
			","
						1.72
					","
						2.00
					"
 12/05/2018,"Dusan Lajovic 
						LAJ
				","Florian Mayer 
						MAY
				","
				1.26
			","
				3.67
			","
				6.00
			","
				7.00
			","
				3.83
			","
				1.72
			","
						1.95
					","
						1.90
					"
 12/05/2018,"Stefanos Tsitsipas 
						TSI
				","Mikhail Kukushkin 
						KUK
				","
				1.32
			","
				3.18
			","
				5.17
			","
				6.50
			","
				3.80
			","
				1.84
			","
						1.83
					","
						1.83
					"
 13/05/2018,"Julien Benneteau 
						BEN
				","Nikoloz Basilashvili 
						BAS
				","
				2.55
			","
				1.49
			","
				2.17
			","
				3.83
			","
				5.38
			","
				4.05
			","
						1.75
					","
						2.00
					"
 13/05/2018,"Lorenzo Sonego 
						SON
				","Adrian Mannarino 
						MAN
				","
				1.63
			","
				2.23
			","
				3.73
			","
				5.01
			","
				4.03
			","
				2.50
			","
						2.40
					","
						1.56
					"
 13/05/2018,"Mischa Zverev 
						ZVE
				","Federico Delbonis 
						DEL
				","
				3.20
			","
				1.32
			","
				1.84
			","
				3.70
			","
				6.25
			","
				5.38
			","
						1.83
					","
						1.83
					"
 13/05/2018,"Frances Tiafoe 
						TIA
				","Viktor Troicki 
						TRO
				","
				1.37
			","
				2.84
			","
				4.77
			","
				6.00
			","
				3.83
			","
				1.90
			","
						1.80
					","
						1.90
					"
 13/05/2018,"Filippo Baldi 
						BAL
				","Guillermo García-López 
						GAR
				","
				4.09
			","
				1.21
			","
				1.62
			","
				3.88
			","
				7.88
			","
				6.88
			","
						1.80
					","
						2.10
					"
 13/05/2018,"Joao Sousa 
						SOU
				","Nicolas Jarry 
						JAR
				","
				1.58
			","
				2.31
			","
				3.63
			","
				4.80
			","
				3.79
			","
				2.42
			","
						1.90
					","
						1.95
					"
 13/05/2018,"Stanislas Wawrinka 
						WAW
				","Steve Johnson 
						JOH
				","
				1.75
			","
				2.05
			","
				3.38
			","
				4.63
			","
				4.08
			","
				2.73
			","
						2.37
					","
						1.58
					"
 13/05/2018,"Ryan Harrison 
						HAR
				","Yuichi Sugita 
						SUG
				","
				1.47
			","
				2.61
			","
				4.36
			","
				5.38
			","
				3.79
			","
				2.15
			","
						2.50
					","
						1.50
					"
 13/05/2018,"Malek Jaziri 
						JAZ
				","Mikhail Youzhny 
						YOU
				","
				1.38
			","
				2.92
			","
				4.54
			","
				5.83
			","
				3.85
			","
				2.00
			","
						1.72
					","
						2.00
					"
 13/05/2018,"Stefanos Tsitsipas 
						TSI
				","Dusan Lajovic 
						LAJ
				","
				1.63
			","
				2.20
			","
				3.50
			","
				4.80
			","
				3.86
			","
				2.44
			","
						1.90
					","
						1.80
					"
 13/05/2018,"David Ferrer 
						FER
				","Jack Sock 
						SOC
				","
				1.80
			","
				1.99
			","
				3.21
			","
				4.58
			","
				4.21
			","
				2.83
			","
						2.38
					","
						1.58
					"
