date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 16/11/2020,"Novak Djokovic 
						DJO
				","Diego Sebastian Schwartzman 
						SCH
				","
				1.11
			","
				6.75
			","
				11.76
			","
				11.79
			","
				4.37
			","
				1.41
			","
						3.50
					","
						1.34
					"
 16/11/2020,"Daniil Medvedev 
						MED
				","Alexander Zverev 
						ZVE
				","
				1.71
			","
				2.15
			","
				3.56
			","
				4.57
			","
				3.94
			","
				2.77
			","
						2.25
					","
						1.68
					"
 17/11/2020,"Rafael Nadal 
						NAD
				","Dominic Thiem 
						THI
				","
				1.49
			","
				2.65
			","
				4.40
			","
				5.33
			","
				3.80
			","
				2.27
			","
						2.40
					","
						1.63
					"
 17/11/2020,"Stefanos Tsitsipas 
						TSI
				","Andrey Rublev 
						RUB
				","
				1.76
			","
				2.10
			","
				3.50
			","
				4.43
			","
				3.97
			","
				2.82
			","
						2.30
					","
						1.70
					"
 18/11/2020,"Alexander Zverev 
						ZVE
				","Diego Sebastian Schwartzman 
						SCH
				","
				1.31
			","
				3.53
			","
				6.22
			","
				6.94
			","
				3.92
			","
				1.79
			","
						2.75
					","
						1.53
					"
 18/11/2020,"Novak Djokovic 
						DJO
				","Daniil Medvedev 
						MED
				","
				1.38
			","
				3.11
			","
				5.28
			","
				5.91
			","
				3.72
			","
				2.03
			","
						2.55
					","
						1.60
					"
 19/11/2020,"Dominic Thiem 
						THI
				","Andrey Rublev 
						RUB
				","
				1.58
			","
				2.41
			","
				4.03
			","
				5.08
			","
				3.91
			","
				2.41
			","
						2.38
					","
						1.62
					"
 19/11/2020,"Rafael Nadal 
						NAD
				","Stefanos Tsitsipas 
						TSI
				","
				1.39
			","
				3.05
			","
				5.24
			","
				5.93
			","
				3.69
			","
				2.08
			","
						2.50
					","
						1.61
					"
 20/11/2020,"Novak Djokovic 
						DJO
				","Alexander Zverev 
						ZVE
				","
				1.32
			","
				3.46
			","
				5.93
			","
				6.82
			","
				3.83
			","
				1.84
			","
						2.60
					","
						1.53
					"
 20/11/2020,"Daniil Medvedev 
						MED
				","Diego Sebastian Schwartzman 
						SCH
				","
				1.30
			","
				3.58
			","
				6.27
			","
				7.20
			","
				4.22
			","
				1.74
			","
						3.05
					","
						1.45
					"
 21/11/2020,"Dominic Thiem 
						THI
				","Novak Djokovic 
						DJO
				","
				2.47
			","
				1.55
			","
				2.41
			","
				3.80
			","
				5.04
			","
				4.21
			","
						2.40
					","
						1.68
					"
 21/11/2020,"Daniil Medvedev 
						MED
				","Rafael Nadal 
						NAD
				","
				1.82
			","
				2.03
			","
				3.42
			","
				4.43
			","
				4.06
			","
				2.88
			","
						2.25
					","
						1.68
					"
 22/11/2020,"Daniil Medvedev 
						MED
				","Dominic Thiem 
						THI
				","
				1.65
			","
				2.25
			","
				3.76
			","
				4.68
			","
				3.94
			","
				2.65
			","
						2.38
					","
						1.71
					"
