match_id,tournament_event_id,match_num,date,surface,indoor,round,best_of,winner_id,winner_country_id,winner_seed,winner_entry,winner_rank,winner_rank_points,winner_elo_rating,winner_next_elo_rating,winner_age,winner_height,loser_id,loser_country_id,loser_seed,loser_entry,loser_rank,loser_rank_points,loser_elo_rating,loser_next_elo_rating,loser_age,loser_height,score,outcome,w_sets,l_sets,w_games,l_games,w_tbs,l_tbs,has_stats,match_id,set,minutes,w_ace,w_df,w_sv_pt,w_1st_in,w_1st_won,w_2nd_won,w_sv_gms,w_bp_sv,w_bp_fc,l_ace,l_df,l_sv_pt,l_1st_in,l_1st_won,l_2nd_won,l_sv_gms,l_bp_sv,l_bp_fc
151268,3638,126,22/05/2011,C,f,SF,5,3819,SUI,3,,3,8390,,,29.787817,185,4920,SRB,2,,2,11665,,,24.002737,188,7-6(5) 6-3 3-6 7-6(5),,3,1,21,21,2,0,t,151268,0,219,18,2,141,91,70,25,21,9,13,7,2,168,112,67,34,21,21,25
154402,3708,125,27/05/2012,C,f,SF,5,4920,SRB,1,,1,11800,,,25.01848,188,3819,SUI,3,,3,9790,,,30.803558,185,6-4 7-5 6-3,,3,0,19,12,0,0,t,154402,0,125,6,2,91,62,45,14,16,4,8,9,3,86,48,27,17,15,3,10
159575,3832,95,6/03/2014,H,f,F,3,4920,SRB,2,,2,10260,,,26.781656,188,3819,SUI,7,,8,4625,,,32.566734,185,3-6 6-3 7-6(3),,2,1,15,15,1,0,t,159575,0,132,6,5,96,62,47,17,15,1,3,6,4,101,64,45,21,15,4,6
159877,3836,54,13/04/2014,C,f,SF,3,3819,SUI,4,,4,5355,,,32.681725,185,4920,SRB,2,,2,11680,,,26.896646,188,7-5 6-2,,2,0,13,7,0,0,t,159877,0,75,3,1,57,40,33,10,10,2,2,2,0,59,40,24,12,10,2,5
160568,3850,127,23/06/2014,G,f,F,5,4920,SRB,1,,2,12330,,,27.088295,188,3819,SUI,4,,4,4945,,,32.873375,185,6-7(7) 6-4 7-6(4) 5-7 6-4,,3,2,29,27,1,1,t,160568,0,236,13,3,174,108,79,43,28,4,7,29,5,192,133,102,26,28,11,15
172632,4140,300,13/08/2018,H,f,F,3,4920,SRB,10,,10,3445,,,31.227926,188,3819,SUI,2,,2,6480,,,37.013004,185,6-4 6-4,,2,0,12,8,0,0,t,172632,0,84,4,2,53,35,25,14,10,0,1,11,4,77,45,30,15,10,3,6
154221,3705,53,13/05/2012,C,f,SF,3,4920,SRB,1,,1,11200,,,24.98015,188,3819,SUI,3,,2,9430,,,30.76523,185,6-2 7-6(4),,2,0,12,8,1,0,t,154221,0,100,1,1,66,38,31,16,10,0,1,6,0,65,32,25,16,10,3,6
163421,3919,127,29/06/2015,G,f,F,5,4920,SRB,1,,1,13845,,,28.104038,188,3819,SUI,2,,2,9665,,,33.88912,185,7-6(1) 6-7(10) 6-4 6-3,,3,1,24,19,1,1,t,163421,0,176,13,1,145,95,70,30,21,6,7,14,3,141,94,70,23,22,6,10
173268,4155,298,29/10/2018,H,t,SF,3,4920,SRB,2,,2,7445,,,31.43874,188,3819,SUI,3,,3,6260,,,37.22382,185,7-6(6) 5-7 7-6(3),,2,1,17,19,2,0,t,173268,0,182,8,0,113,76,56,28,18,1,2,17,2,139,93,69,25,18,12,12
154669,3713,125,25/06/2012,G,f,SF,5,3819,SUI,3,,3,9435,,,30.880219,185,4920,SRB,1,,1,12280,,,25.09514,188,6-3 3-6 6-4 6-3,,3,1,21,16,0,0,t,154669,0,139,12,0,101,65,49,26,19,2,3,9,2,115,73,52,24,18,8,11
155796,3742,515,5/11/2012,H,f,F,3,4920,SRB,1,,1,11420,,,25.459274,188,3819,SUI,2,,2,9465,,,31.244352,185,7-6(6) 7-5,,2,0,13,11,1,0,t,155796,0,135,6,2,98,68,43,14,12,4,7,8,2,93,57,35,19,12,3,7
155119,3726,55,12/08/2012,H,f,F,3,3819,SUI,1,,1,11345,,,31.014374,185,4920,SRB,2,,2,11270,,,25.229296,188,6-0 7-6(7),,2,0,12,6,1,0,t,155119,0,80,8,1,56,33,27,15,9,0,0,2,5,61,35,23,13,9,1,4
174933,4196,226,1/07/2019,G,f,F,5,4920,SRB,1,,1,12415,,,32.109512,188,3819,SUI,2,,3,6620,,,37.894592,185,7-6(5) 1-6 7-6(4) 4-6 13-12,,3,2,30,36,3,0,t,174933,0,297,10,9,219,136,101,39,34,6,13,25,6,203,127,100,39,34,5,8
163908,3930,55,16/08/2015,H,f,F,3,3819,SUI,2,,3,8065,,,34.023273,185,4920,SRB,1,,1,14265,,,28.238194,188,7-6(1) 6-3,,2,0,12,9,1,0,t,163908,0,90,7,2,61,35,29,19,11,0,0,5,4,79,47,33,15,10,7,8
164082,3932,127,31/08/2015,H,f,F,5,4920,SRB,1,,1,14865,,,28.276524,188,3819,SUI,2,,2,9065,,,34.061604,185,6-4 5-7 6-4 6-4,,3,1,23,19,0,0,t,164082,0,200,3,5,155,96,63,32,21,19,23,11,5,137,87,62,23,21,7,13
164576,3946,506,15/11/2015,H,f,RR,3,3819,SUI,3,,3,7340,,,34.272415,185,4920,SRB,1,,1,15285,,,28.487337,188,7-5 6-2,,2,0,13,7,0,0,t,164576,0,,6,2,52,36,27,12,10,2,3,2,1,64,47,24,12,10,4,8
164585,3946,515,15/11/2015,H,f,F,3,4920,SRB,1,,1,15285,,,28.487337,188,3819,SUI,3,,3,7340,,,34.272415,185,6-3 6-4,,2,0,12,7,0,0,t,164585,0,80,5,0,56,37,23,16,9,2,2,6,2,59,38,27,9,10,6,9
164852,3952,224,18/01/2016,H,f,SF,5,4920,SRB,1,,1,16790,,,28.659822,188,3819,SUI,3,,3,8165,,,34.4449,185,6-1 6-2 3-6 6-3,,3,1,21,12,0,0,t,164852,0,139,10,1,97,65,50,21,17,3,4,5,1,100,57,35,21,16,4,9
158724,3809,46,28/10/2013,H,f,SF,3,4920,SRB,2,,2,11120,,,26.436687,188,3819,SUI,5,,6,4245,,,32.221767,185,4-6 6-3 6-2,,2,1,16,11,0,0,t,158724,0,121,7,5,92,60,43,17,14,3,5,5,4,89,59,40,12,13,6,10
158730,3810,505,4/11/2013,H,f,RR,3,4920,SRB,2,,2,10610,,,26.455853,188,3819,SUI,6,,7,3805,,,32.240932,185,6-4 6-7(2) 6-2,,2,1,18,12,0,1,t,158730,0,142,9,2,101,57,40,23,15,3,5,5,5,103,56,37,23,15,6,11
161435,3870,53,5/10/2014,H,f,SF,3,3819,SUI,3,,3,8170,,,33.16085,185,4920,SRB,1,,1,12150,,,27.37577,188,6-4 6-4,,2,0,12,8,0,0,t,161435,0,96,8,1,72,51,35,13,10,1,1,5,0,77,53,32,13,10,8,10
162255,3895,31,23/02/2015,H,f,F,3,3819,SUI,2,,2,9205,,,33.544147,185,4920,SRB,1,,1,13045,,,27.75907,188,6-3 7-5,,2,0,13,8,0,0,t,162255,0,84,12,1,79,51,41,11,11,7,7,1,2,62,39,27,12,10,0,2
162481,3899,95,12/03/2015,H,f,F,3,4920,SRB,1,,1,13205,,,27.7974,188,3819,SUI,2,,2,9205,,,33.582478,185,6-3 6-7(5) 6-2,,2,1,18,11,0,1,t,162481,0,138,8,5,101,61,47,21,15,8,10,6,3,98,57,41,15,14,8,13
138751,3359,55,5/08/2007,H,f,F,3,4920,SRB,3,,4,3200,,,20.208076,188,3819,SUI,1,,1,7290,,,25.993155,185,7-6(2) 2-6 7-6(2),,2,1,14,18,2,0,t,138751,0,133,6,3,96,63,44,19,16,4,9,15,1,102,69,53,14,16,3,6
159451,3830,29,24/02/2014,H,f,SF,3,3819,SUI,4,,8,4305,,,32.54757,185,4920,SRB,1,,2,10580,,,26.762491,188,3-6 6-3 6-2,,2,1,15,11,0,0,t,159451,0,106,7,0,77,46,35,18,13,5,6,5,2,86,53,36,19,13,4,7
162950,3910,55,10/05/2015,C,f,F,3,4920,SRB,1,,1,13845,,,27.969883,188,3819,SUI,2,,2,8645,,,33.754963,185,6-4 6-3,,2,0,12,7,0,0,t,162950,0,76,5,1,53,38,32,10,10,1,1,7,1,62,39,30,8,9,3,5
