0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
165566,3972,239,11/04/2016,C,FALSE,R64,3,5718,FRA,,Q,95,590,,,25.067762,188,5539,ARG,,,47,968,,,25.902807,185,6-3 6-4,,2,0,12,7,0,0,TRUE,165566,0,68,7,2,69,38,34,10,10,8,9,2,2,49,34,21,9,9,0,3
161713,3880,14,5/01/2015,H,FALSE,R32,3,5147,BRA,,,117,468,,,26.60917,193,4291,TUN,,WC,74,676,,,30.959618,185,3-6 6-4 6-3,,2,1,15,13,0,0,TRUE,161713,0,98,8,0,72,51,42,14,14,4,5,3,3,75,35,27,27,14,1,3
173687,4168,292,11/02/2019,H,TRUE,R16,3,11415,AUS,7,,60,775,,,24.81314,183,11127,USA,,Q,166,339,,,22.770704,,4-6 6-1 6-4,,2,1,16,11,0,0,TRUE,173687,0,89,6,1,84,59,44,14,14,4,5,7,8,72,44,35,11,13,4,7
167410,4013,278,24/10/2016,H,FALSE,R32,3,6044,USA,8,,22,1675,,,24.082136,185,5166,FRA,,,53,846,,,28.320328,183,6-3 6-3,,2,0,12,6,0,0,TRUE,167410,0,68,4,2,52,35,28,11,9,5,5,4,5,63,34,22,14,9,6,9
175093,4202,275,22/07/2019,C,FALSE,R32,3,6214,ARG,,,56,938,,,25.932922,,45045,ESP,,LL,127,428,,,20.12868,183,6-3 6-2,,2,0,12,5,0,0,TRUE,175093,0,65,0,3,53,29,24,14,9,2,2,2,3,52,39,24,5,8,2,5
170235,4081,272,16/10/2017,H,TRUE,R32,3,5564,LTU,,PR,169,310,,,27.321012,175,5571,SRB,,,70,726,,,27.296371,180,6-3 7-6(2),,2,0,12,9,1,0,TRUE,170235,0,76,3,1,62,34,30,16,10,0,0,6,3,66,46,34,10,11,1,3
177354,4257,258,2/11/2020,H,TRUE,R64,3,5166,FRA,,,36,1426,,,32.34497,183,5571,SRB,,,26,1785,,,30.343601,180,7-6(5) 6-3,,2,0,12,9,1,0,TRUE,177354,0,88,5,0,54,34,29,17,10,0,0,2,2,75,51,39,10,11,3,5
162008,3887,16,9/02/2015,H,FALSE,R16,3,5016,USA,,,41,1010,,,27.342916,198,11549,USA,,WC,180,276,,,18.335386,,6-4 6-1,,2,0,12,5,0,0,TRUE,162008,0,58,6,4,50,32,25,11,8,2,2,3,3,53,26,18,9,9,1,5
175337,4208,273,19/08/2019,H,FALSE,R32,3,5016,USA,6,,46,1035,,,31.865845,198,6134,ESP,,,76,787,,,26.40657,183,6-3 7-5,,2,0,13,8,0,0,TRUE,175337,0,89,15,3,55,33,29,13,11,0,1,2,7,80,43,24,21,10,7,10
174260,4181,247,22/04/2019,C,FALSE,R64,3,26006,USA,,,58,890,,,21.481176,193,24020,USA,,,59,886,,,21.648186,211,6-3 6-4,,2,0,12,7,0,0,TRUE,174260,0,55,5,2,53,35,27,13,10,0,0,7,6,46,29,24,8,9,2,4
177408,4259,289,16/11/2020,H,TRUE,RR,3,4742,ESP,2,,2,9850,,,34.455853,185,25897,RUS,7,,8,3919,,,23.074606,188,6-3 6-4,,2,0,12,7,0,0,TRUE,177408,0,77,2,0,54,39,32,10,10,0,0,9,1,58,36,28,9,9,3,5
166850,4000,281,15/08/2016,H,FALSE,R32,3,5670,CAN,4,,6,4455,,,25.634497,196,4544,USA,,,22,1610,,,31.304586,206,7-6(5) 7-6(5),,2,0,12,12,2,0,TRUE,166850,0,96,12,4,73,47,40,16,12,0,0,20,1,76,53,45,11,12,1,1
170211,4080,276,16/10/2017,H,TRUE,R32,3,4659,UKR,,,102,534,,,31.775496,193,11549,USA,,,52,908,,,21.01848,,7-6(4) 6-4,,2,0,12,10,1,0,TRUE,170211,0,88,8,2,67,41,34,17,11,1,1,5,2,64,31,25,22,11,3,4
167332,4010,284,17/10/2016,H,FALSE,R32,3,4252,GER,,,55,823,,,33.03491,190,3990,ESP,,WC,484,75,,,34.464066,180,6-2 6-2,,2,0,12,4,0,0,TRUE,167332,0,69,7,1,46,23,18,14,8,1,2,1,3,65,42,20,9,8,6,11
171148,4108,195,5/03/2018,H,FALSE,R128,3,4533,ISR,,LL,97,595,,,32.91718,175,5367,GER,,,50,1016,,,28.637918,185,6-4 6-4,,2,0,12,8,0,0,TRUE,171148,0,64,2,4,59,35,27,12,10,2,4,7,9,56,27,21,12,10,2,6
165151,3963,280,22/02/2016,H,FALSE,R32,3,11176,KOR,,,66,735,,,19.761806,,4311,ITA,,,39,1050,,,32.00274,190,6-3 6-4,,2,0,12,7,0,0,TRUE,165151,0,77,2,1,54,37,28,13,10,1,1,3,2,54,23,16,17,9,3,5
173294,4157,293,12/11/2018,H,TRUE,RR,3,644,GER,3,,5,5085,,,21.563313,198,4544,USA,8,,10,3155,,,33.546886,206,7-6(5) 6-3,,2,0,12,9,1,0,TRUE,173294,0,81,18,2,64,48,41,9,11,1,1,10,1,60,37,27,15,10,0,1
177471,4261,6002,6/03/2020,C,FALSE,RR,3,23628,TUR,,,329,119,,,23.482546,,27127,ISR,,,562,45,,,22.748802,,7-5 1-6 6-4,,2,1,14,15,0,0,TRUE,177471,0,129,3,5,93,61,39,14,15,7,12,3,2,100,66,39,17,14,7,12
173977,4176,238,4/03/2019,H,FALSE,R64,3,4742,ESP,2,,2,8365,,,32.75017,185,11549,USA,,WC,192,270,,,22.398357,,6-1 6-1,,2,0,12,2,0,0,TRUE,173977,0,72,6,3,37,20,17,11,7,0,0,3,2,57,27,17,9,7,1,6
163159,3915,1,8/06/2015,G,FALSE,R32,3,4570,CYP,,,63,787,,,29.97399,183,4585,CZE,,,38,1115,,,29.87269,196,6-3 6-4,,2,0,12,7,0,0,TRUE,163159,0,,10,11,66,35,31,11,10,3,5,2,4,58,31,19,12,9,3,7
177413,4260,202,6/03/2020,C,FALSE,RR,3,6214,ARG,,,62,832,,,26.546202,,5046,COL,,,292,140,,,32.262833,188,6-7(6) 6-3 6-2,,2,1,18,11,0,1,TRUE,177413,0,138,5,6,82,48,40,17,15,2,4,4,4,111,64,43,20,14,9,15
166527,3992,287,18/07/2016,C,FALSE,R16,3,4894,NED,,,95,615,,,29.284052,190,4546,ARG,,,73,726,,,31.225187,188,7-6(5) 6-4,,2,0,12,10,1,0,TRUE,166527,0,96,13,2,78,56,45,9,11,6,7,6,4,70,40,29,16,11,3,5
165557,3971,292,4/04/2016,C,FALSE,R16,3,6196,CZE,8,,55,840,,,22.735113,198,5247,CRO,,Q,312,154,,,27.277208,,6-7(4) 6-3 7-6(5),,2,1,18,15,1,1,TRUE,165557,0,181,15,4,112,68,55,22,17,3,4,10,4,124,52,41,38,16,5,7
