match_id,tournament_event_id,match_num,date,surface,indoor,round,best_of,winner_id,winner_country_id,winner_seed,winner_entry,winner_rank,winner_rank_points,winner_elo_rating,winner_next_elo_rating,winner_age,winner_height,loser_id,loser_country_id,loser_seed,loser_entry,loser_rank,loser_rank_points,loser_elo_rating,loser_next_elo_rating,loser_age,loser_height,score,outcome,w_sets,l_sets,w_games,l_games,w_tbs,l_tbs,has_stats,match_id,set,minutes,w_ace,w_df,w_sv_pt,w_1st_in,w_1st_won,w_2nd_won,w_sv_gms,w_bp_sv,w_bp_fc,l_ace,l_df,l_sv_pt,l_1st_in,l_1st_won,l_2nd_won,l_sv_gms,l_bp_sv,l_bp_fc
147380,3552,24,2010-02-22,H,f,R16,3,4920,SRB,2,,2,8310,,,22.757015,188,4677,SRB,,,35,1110,,,24.032854,193,3-6 6-4 6-2,,2,1,15,12,0,0,t,147380,0,125,2,5,79,43,30,22,14,3,5,10,2,93,46,28,29,13,7,10
138364,3352,37,2007-03-05,H,f,R64,3,4920,SRB,12,,13,1715,,,19.786448,188,4068,USA,,,43,765,,,24.40794,183,6-4 6-4,,2,0,12,8,0,0,t,138364,0,82,2,4,63,35,24,14,10,1,4,6,1,67,39,24,11,10,7,12
144198,3481,21,2009-01-12,H,f,QF,3,4920,SRB,1,,3,10590,,,21.645449,188,4338,CRO,,,35,1800,,,24.788502,196,6-3 6-4,,2,0,12,7,0,0,t,144198,0,80,2,3,82,49,35,16,10,14,15,2,1,45,28,19,11,9,2,5
174017,4177,293,2019-03-18,H,f,R16,3,5131,ESP,22,,25,1510,,,30.924025,183,4920,SRB,1,,1,10990,,,31.82204,188,1-6 7-5 6-3,,2,1,14,14,0,0,t,174017,0,149,1,3,94,55,39,15,14,9,13,5,4,87,50,32,18,14,3,7
141526,3421,86,2008-03-13,H,f,R16,3,4920,SRB,3,,3,5130,,,20.80219,188,3084,ARG,16,,16,1468,,,30.288843,185,6-2 6-3,,2,0,12,5,0,0,t,141526,0,85,3,1,55,35,26,13,9,5,5,3,1,56,30,24,6,8,5,8
166036,3982,196,2016-05-23,C,f,R32,5,4920,SRB,1,,1,16150,,,29.004791,188,5370,SLO,,,66,765,,,26.847364,181,6-2 6-3 6-3,,3,0,18,8,0,0,t,166036,0,122,5,0,93,71,48,12,13,5,7,8,2,92,53,34,11,13,10,17
144909,3496,51,2009-08-10,H,f,QF,3,4053,USA,5,,5,5530,,,26.945927,188,4920,SRB,4,,4,7380,,,22.220396,188,6-4 7-6(4),,2,0,12,10,1,0,t,144909,0,103,4,1,68,45,36,13,11,1,2,10,6,78,43,33,16,11,1,3
166751,3999,100,2016-08-08,H,f,R64,3,5216,ARG,,,141,410,,,27.87406,198,4920,SRB,1,,1,16040,,,29.215607,188,7-6(4) 7-6(2),,2,0,12,12,2,0,t,166751,0,147,3,1,72,42,36,20,12,0,0,8,2,101,70,47,17,12,7,7
174510,4189,1101,2019-05-27,C,f,R128,5,4920,SRB,1,,1,12355,,,32.01369,188,27834,POL,,,44,1040,,,22.286106,196,6-4 6-2 6-2,,3,0,18,8,0,0,t,174510,0,96,6,1,63,44,36,14,13,1,2,8,2,74,44,26,12,13,3,9
138615,3356,52,2007-05-07,C,f,QF,3,4742,ESP,2,,2,4875,,,20.925394,185,4920,SRB,5,,5,2720,,,19.958933,188,6-2 6-3,,2,0,12,5,0,0,t,138615,0,101,2,2,46,34,28,5,8,1,1,1,1,67,48,27,6,9,8,12
177722,4268,294,2021-02-02,H,f,RR,3,4920,SRB,,,1,12030,,,33.700207,188,644,GER,,,7,5615,,,23.786448,198,6-7(3) 6-2 7-5,,2,1,19,13,0,1,t,177722,0,153,11,5,95,53,43,25,16,0,1,16,8,100,62,44,19,16,2,6
167029,4002,212,2016-08-29,H,f,R16,5,4920,SRB,1,,1,14840,,,29.2731,188,6364,GBR,,,84,679,,,21.639973,188,6-2 6-1 6-4,,3,0,18,7,0,0,t,167029,0,115,3,7,82,51,38,14,13,4,6,3,1,89,57,30,10,12,7,15
134182,3257,26,2006-01-30,P,t,QF,3,4920,SRB,,,81,487,,,18.694046,188,4591,SRB,,Q,215,173,,,20.49555,193,6-2 6-3,,2,0,12,5,0,0,t,134182,0,60,10,0,49,34,29,9,9,2,2,10,2,44,27,20,7,8,1,4
164556,3945,33,2015-11-02,H,f,R16,3,4920,SRB,1,,1,15785,,,28.449007,188,4467,FRA,14,,15,2100,,,30.847364,183,6-3 7-5,,2,0,13,8,0,0,t,164556,0,,2,3,68,40,26,11,11,5,10,0,1,58,35,15,8,10,2,9
139626,3379,118,2007-06-25,G,f,R16,5,4920,SRB,4,,5,3010,,,20.093086,188,3720,AUS,16,,19,1330,,,26.32991,180,7-6(8) 7-6(2) 4-6 7-6(5),,3,1,22,24,3,0,t,139626,0,252,17,5,174,125,92,22,23,8,12,7,2,157,80,59,41,23,5,8
168900,4049,300,2017-05-15,C,f,F,3,644,GER,16,,17,2300,,,20.068447,198,4920,SRB,2,,2,6845,,,29.982204,188,6-4 6-3,,2,0,12,7,0,0,t,168900,0,81,7,2,45,32,27,9,9,0,0,1,3,67,43,30,9,10,2,5
161613,3876,33,2014-10-27,H,f,R16,3,4920,SRB,1,,1,11510,,,27.433266,188,4789,FRA,,,21,1735,,,28.15332,193,6-3 7-6(2),,2,0,12,9,1,0,t,161613,0,92,1,5,70,39,32,16,11,2,3,12,4,60,38,27,10,10,4,6
139683,3380,48,2007-08-27,H,f,R128,5,4920,SRB,3,,3,3670,,,20.265572,188,4894,NED,,LL,95,437,,,20.391512,190,6-2 6-1 6-3,,3,0,18,6,0,0,t,139683,0,96,5,1,66,40,33,17,12,1,1,6,4,97,62,37,11,12,11,17
170661,4092,311,2018-01-15,H,f,R32,5,4920,SRB,14,,14,2335,,,30.652977,188,5070,ESP,21,,22,1845,,,29.995893,188,6-2 6-3 6-3,,3,0,18,8,0,0,t,170661,0,141,2,3,87,55,44,16,13,6,6,3,3,96,57,34,20,13,7,12
131544,3204,5,2005-10-31,P,t,R64,3,4920,SRB,,Q,85,488,,,18.4449,188,3812,ROU,,,37,853,,,24.27926,198,4-1 RET,RET,0,0,4,1,0,0,t,131544,0,19,1,1,12,8,6,2,2,0,0,0,1,20,12,8,1,3,3,5
157155,3774,25,2013-05-12,C,f,R32,3,4920,SRB,1,,1,12730,,,25.976728,188,3656,ESP,,Q,89,573,,,32.459957,175,6-2 6-3,,2,0,12,5,0,0,t,157155,0,71,3,0,52,40,30,8,9,4,5,1,4,56,32,17,11,8,7,11
165409,3968,312,2016-03-07,H,f,R16,3,4920,SRB,1,,1,16540,,,28.793976,188,3852,ESP,18,,21,1630,,,34.461327,188,6-3 6-3,,2,0,12,6,0,0,t,165409,0,65,3,1,48,29,23,13,9,0,0,5,0,55,28,22,12,9,3,6
167041,4002,224,2016-08-29,H,f,SF,5,4920,SRB,1,,1,14840,,,29.2731,188,4789,FRA,10,,12,2835,,,29.993155,193,6-3 6-2 3-6 6-2,,3,1,21,13,0,0,t,167041,0,152,1,7,106,68,46,20,17,7,11,11,11,111,60,37,19,17,12,20
