match_id,tournament_event_id,match_num,date,surface,indoor,round,best_of,winner_id,winner_country_id,winner_seed,winner_entry,winner_rank,winner_rank_points,winner_elo_rating,winner_next_elo_rating,winner_age,winner_height,loser_id,loser_country_id,loser_seed,loser_entry,loser_rank,loser_rank_points,loser_elo_rating,loser_next_elo_rating,loser_age,loser_height,score,outcome,w_sets,l_sets,w_games,l_games,w_tbs,l_tbs,has_stats,match_id,set,minutes,w_ace,w_df,w_sv_pt,w_1st_in,w_1st_won,w_2nd_won,w_sv_gms,w_bp_sv,w_bp_fc,l_ace,l_df,l_sv_pt,l_1st_in,l_1st_won,l_2nd_won,l_sv_gms,l_bp_sv,l_bp_fc
126765,3097,112,25/08/2003,H,f,R32,5,3819,SUI,2,,2,3825,,,22.045174,185,3484,USA,,,35,995,,,23.657768,185,6-3 7-6(4) 6-3,,3,0,18,12,1,0,t,126765,0,119,10,3,101,62,47,25,16,3,4,5,6,128,78,53,23,14,20,23
151190,3638,48,22/05/2011,C,f,R128,5,3819,SUI,3,,3,8390,,,29.787817,185,3852,ESP,,,41,1065,,,29.67009,188,6-3 6-4 7-6(3),,3,0,18,13,1,0,t,151190,0,119,12,0,89,56,48,20,16,0,0,7,3,99,63,41,22,15,7,9
150620,3625,80,10/03/2011,H,f,R32,3,3819,SUI,2,,2,7965,,,29.577002,185,3428,ARG,29,,32,1270,,,31.518139,190,6-0 6-2,,2,0,12,2,0,0,t,150620,0,58,2,0,42,25,20,10,7,1,1,0,6,49,27,15,6,7,4,9
171232,4108,300,5/03/2018,H,f,F,3,5216,ARG,6,,8,3200,,,29.445585,198,3819,SUI,1,,1,10060,,,36.572212,185,6-4 6-7(8) 7-6(2),,2,1,18,16,1,1,t,171232,0,162,8,1,115,72,54,29,17,3,4,10,5,115,70,52,24,17,3,5
156295,3755,25,11/02/2013,H,f,QF,3,3898,FRA,,,39,1025,,,31.14579,185,3819,SUI,1,,2,10265,,,31.512663,185,6-3 7-5,,2,0,13,8,0,0,t,156295,0,81,6,2,57,37,26,10,10,3,5,7,4,69,39,26,10,11,3,8
135194,3282,95,6/03/2006,H,f,F,5,3819,SUI,1,,1,6935,,,24.57495,185,3484,USA,12,,14,1565,,,26.187542,185,7-5 6-3 6-0,,3,0,19,8,0,0,t,135194,0,103,3,1,79,46,37,18,14,2,4,3,3,89,44,20,22,13,9,16
178026,4275,286,8/03/2021,H,f,R16,3,3819,SUI,2,,6,6630,,,39.58111,185,5543,GBR,,,28,1794,,,30.792608,175,7-6(8) 3-6 7-5,,2,1,16,17,1,0,t,178026,0,144,13,0,105,71,56,18,16,3,4,9,3,123,78,59,22,17,3,4
130879,3185,17,26/09/2005,H,f,R16,3,3819,SUI,1,,1,6975,,,24.134155,185,3823,GER,,Q,239,149,,,24.112251,183,6-3 6-2,,2,0,12,5,0,0,t,130879,0,63,3,1,66,38,31,14,9,7,7,1,3,50,26,19,9,8,2,5
161159,3864,120,25/08/2014,H,f,R16,5,3819,SUI,2,,3,7490,,,33.04586,185,5131,ESP,17,,19,1800,,,26.362764,183,6-4 6-3 6-2,,3,0,18,9,0,0,t,161159,0,116,8,5,87,51,39,19,13,6,7,2,4,102,65,38,15,14,7,13
145968,3519,121,31/08/2009,H,f,QF,5,3819,SUI,1,,1,12040,,,28.062971,185,4416,SWE,12,,12,2665,,,25.045858,193,6-0 6-3 6-7(6) 7-6(6),,3,1,24,15,1,1,t,145968,0,153,28,3,128,85,73,24,20,5,5,11,5,127,85,62,19,19,7,11
171217,4108,285,5/03/2018,H,f,R32,3,3819,SUI,1,,1,10060,,,36.572212,185,5922,SRB,25,,28,1503,,,26.017796,185,6-2 6-1,,2,0,12,3,0,0,t,171217,0,58,6,1,42,27,24,8,8,2,3,0,4,51,27,14,7,7,3,8
159869,3836,46,13/04/2014,C,f,R16,3,3819,SUI,4,,4,5355,,,32.681725,185,4585,CZE,,,47,971,,,28.722792,196,6-4 6-1,,2,0,12,5,0,0,t,159869,0,58,6,1,53,31,28,9,9,3,4,0,1,43,25,14,6,8,0,4
162466,3899,80,12/03/2015,H,f,R32,3,3819,SUI,2,,2,9205,,,33.582478,185,4311,ITA,30,,33,1185,,,31.04449,190,6-3 6-4,,2,0,12,7,0,0,t,162466,0,82,6,3,59,36,27,12,10,1,2,3,2,77,35,24,17,9,9,12
158035,3794,33,11/08/2013,H,f,R32,3,3819,SUI,5,,5,5515,,,32.010952,185,4259,GER,,,26,1410,,,29.823408,178,6-3 7-6(7),,2,0,12,9,1,0,t,158035,0,87,8,1,62,38,33,15,11,0,1,5,4,85,43,31,20,10,9,11
116490,2876,11,12/06/2000,G,f,R32,3,3819,SUI,,,38,859,,,18.844627,185,3096,FRA,,,57,674,,,22.485968,173,6-4 6-2,,2,0,12,6,0,0,t,116490,0,69,3,4,56,37,29,8,9,0,2,2,6,59,22,14,16,9,7,12
173185,4153,293,22/10/2018,H,t,R16,3,3819,SUI,1,,3,6260,,,37.204655,185,5515,GER,,,52,935,,,28.492813,193,6-3 7-5,,2,0,13,8,0,0,t,173185,0,67,7,5,60,32,25,18,11,0,1,8,5,59,37,28,7,10,0,3
125673,3073,44,4/08/2003,H,f,R32,3,3819,SUI,3,,3,3690,,,21.98768,185,2257,GBR,,,60,632,,,29.908281,193,6-4 6-3,,2,0,12,7,0,0,t,125673,0,65,1,1,52,27,21,16,10,0,1,1,3,59,33,22,11,9,1,4
169359,4059,207,3/07/2017,G,f,R32,5,3819,SUI,3,,5,5265,,,35.901436,185,4994,GER,27,,30,1396,,,29.864477,190,7-6(3) 6-4 6-4,,3,0,18,14,1,0,t,169359,0,109,13,1,88,53,44,25,16,1,2,6,4,102,63,45,20,16,3,6
124564,3047,29,7/07/2003,C,f,SF,3,3819,SUI,1,,3,3575,,,21.91102,185,3292,ARG,4,,27,1125,,,24.57495,175,6-1 7-6(6),,2,0,12,7,1,0,t,124564,0,88,12,2,61,39,33,11,10,1,2,0,4,68,49,28,10,9,8,11
175457,4209,200,26/08/2019,H,f,R32,5,3819,SUI,3,,3,6950,,,38.047913,185,5543,GBR,,,58,955,,,29.25941,175,6-2 6-2 6-1,,3,0,18,5,0,0,t,175457,0,80,10,1,61,40,32,15,12,1,2,0,4,67,34,14,13,11,7,14
138265,3351,33,19/03/2007,H,f,R64,3,3819,SUI,1,,1,7715,,,25.609856,185,5016,USA,,WC,69,537,,,19.446955,198,6-4 6-3,,2,0,12,7,0,0,t,138265,0,62,6,1,45,26,25,11,9,0,0,5,7,65,35,23,15,10,5,8
154985,3723,63,25/07/2012,G,f,F,5,4913,GBR,3,,4,7460,,,25.190966,190,3819,SUI,1,,1,11075,,,30.956879,185,6-2 6-1 6-4,,3,0,18,7,0,0,t,154985,0,116,5,1,87,44,35,27,13,9,9,9,1,78,51,33,10,12,5,10
144494,3488,92,25/03/2009,H,f,QF,3,3819,SUI,2,,2,10910,,,27.622177,185,4053,USA,5,,6,4610,,,26.562628,188,6-3 4-6 6-4,,2,1,16,13,0,0,t,144494,0,123,7,5,80,51,36,20,14,2,3,6,4,101,71,48,16,15,4,7
164842,3952,214,18/01/2016,H,f,R16,5,3819,SUI,3,,3,8165,,,34.4449,185,5663,BEL,15,,16,1835,,,25.114305,163,6-2 6-1 6-4,,3,0,18,7,0,0,t,164842,0,88,7,1,67,42,36,16,13,0,1,5,2,83,55,36,8,12,7,13
145686,3516,124,25/05/2009,C,f,QF,5,3819,SUI,2,,2,10470,,,27.79466,185,4789,FRA,11,,10,3150,,,22.729637,193,7-6(6) 6-2 6-4,,3,0,18,12,1,0,t,145686,0,130,8,1,94,54,43,26,15,4,4,7,1,105,61,41,22,15,2,5
136440,3310,97,26/06/2006,G,f,R32,5,3819,SUI,1,,1,7260,,,24.881588,185,3917,FRA,,,77,530,,,24.427105,190,6-3 7-6(2) 6-4,,3,0,18,13,1,0,t,136440,0,125,7,1,93,60,43,26,16,1,2,10,5,96,58,40,19,15,5,8
133462,3242,97,17/01/2005,H,f,R32,5,3819,SUI,1,,1,6525,,,23.444216,185,3813,FIN,,,87,459,,,23.488022,185,6-3 5-2 RET,RET,1,0,11,5,0,0,t,133462,0,57,2,1,49,35,23,8,8,3,5,1,3,56,36,16,9,8,2,7
170409,4086,298,13/11/2017,H,t,SF,3,5663,BEL,7,,8,2975,,,26.934977,163,3819,SUI,2,,2,9005,,,36.26557,185,2-6 6-3 6-4,,2,1,14,13,0,0,t,170409,0,105,7,1,93,55,40,22,14,9,11,7,3,77,47,35,17,13,1,3
153056,3678,123,16/01/2012,H,f,QF,5,3819,SUI,3,,3,8010,,,30.439425,185,5216,ARG,11,,11,2315,,,23.3128,198,6-4 6-3 6-2,,3,0,18,9,0,0,t,153056,0,119,4,1,77,44,39,19,14,5,6,5,3,87,58,33,16,13,3,8
144765,3493,40,27/04/2009,C,f,R32,3,3819,SUI,2,,2,10060,,,27.718002,185,3333,CRO,,,24,1830,,,30.160164,208,6-4 6-4,,2,0,12,8,0,0,t,144765,0,69,1,2,58,33,25,18,10,3,3,15,4,53,34,27,8,10,2,4
129981,3167,125,30/08/2004,H,f,SF,5,3819,SUI,1,,1,5910,,,23.060917,185,2450,GBR,5,,6,2380,,,29.982204,185,6-3 6-4 6-4,,3,0,18,11,0,0,t,129981,0,104,7,2,84,53,40,20,15,2,4,4,1,74,45,28,18,14,2,7
136282,3308,97,29/05/2006,C,f,R32,5,3819,SUI,1,,1,7010,,,24.804928,185,3454,CHI,32,,35,885,,,26.633812,183,6-1 6-2 6-7(4) 7-5,,3,1,25,14,0,1,t,136282,0,155,6,3,114,70,52,29,20,5,7,4,5,119,77,51,18,19,5,12
144054,3477,17,2/11/2009,H,f,R16,3,3819,SUI,1,,1,10055,,,28.235455,185,4311,ITA,,,51,850,,,25.697468,190,6-3 6-3,,2,0,12,6,0,0,t,144054,0,61,6,0,55,38,30,10,9,2,2,2,1,56,37,23,10,9,4,7
121958,2993,84,18/03/2002,H,f,R16,3,3819,SUI,12,,14,1820,,,20.607803,185,2450,GBR,5,,6,2475,,,27.529089,185,6-2 RET,RET,1,0,6,2,0,0,t,121958,0,35,2,1,23,13,9,8,5,0,0,0,1,23,18,10,1,4,1,3
139475,3377,125,28/05/2007,C,f,SF,5,3819,SUI,1,,1,7515,,,25.801506,185,3786,RUS,4,,4,2840,,,25.984941,178,7-5 7-6(5) 7-6(7),,3,0,19,17,2,0,t,139475,0,181,10,3,138,71,56,31,18,14,17,2,5,140,95,60,24,18,11,15
163907,3930,54,16/08/2015,H,f,SF,3,3819,SUI,2,,3,8065,,,34.023273,185,4913,GBR,3,,2,8660,,,28.257359,190,6-4 7-6(6),,2,0,12,10,1,0,t,163907,0,,4,2,64,35,27,23,11,0,0,9,0,80,49,36,17,11,3,4
131980,3212,49,11/04/2005,C,f,R16,3,3819,SUI,1,,1,6515,,,23.674196,185,3602,CHI,,,26,1200,,,24.70089,183,6-2 6-7(3) 6-4,,2,1,18,12,0,1,t,131980,0,141,9,0,93,52,42,24,15,7,8,6,6,124,76,53,19,15,7,11
161638,3877,511,9/11/2014,H,f,RR,3,3819,SUI,2,,2,8700,,,33.25667,185,5670,CAN,8,,8,4440,,,23.87132,196,6-1 7-6(0),,2,0,12,7,1,0,t,161638,0,89,5,2,75,42,32,20,10,4,4,10,2,60,28,22,15,9,4,6
132057,3213,63,9/05/2005,C,f,F,5,3819,SUI,1,,1,6605,,,23.750856,185,4752,FRA,,Q,56,686,,,18.89117,185,6-3 7-5 7-6(4),,3,0,19,14,1,0,t,132057,0,133,4,4,112,70,53,29,17,5,5,1,3,88,49,39,23,16,1,3
120297,2955,93,27/08/2001,H,f,R64,5,3819,SUI,13,,13,1815,,,20.05202,185,4068,USA,,WC,327,92,,,18.888433,183,6-2 7-5 6-1,,3,0,19,8,0,0,t,120297,0,85,16,2,83,55,44,16,14,5,5,1,8,89,46,29,18,13,4,10
126958,3100,116,13/01/2003,H,f,R16,5,3900,ARG,10,,12,1740,,,21.03217,180,3819,SUI,6,,6,2475,,,21.431896,185,6-4 3-6 6-1 1-6 6-3,,3,2,22,20,0,0,t,126958,0,178,3,2,133,79,50,30,21,10,17,9,9,148,77,58,26,21,9,17
174691,4192,300,17/06/2019,G,f,F,3,3819,SUI,1,,3,6420,,,37.856262,185,5663,BEL,,,33,1255,,,28.525667,163,7-6(2) 6-1,,2,0,12,7,1,0,t,174691,0,83,7,1,58,35,29,15,9,3,3,7,5,70,38,25,16,10,3,6
129850,3166,121,21/06/2004,G,f,QF,5,3819,SUI,1,,1,5610,,,22.869268,185,3720,AUS,7,,10,1745,,,23.321012,180,6-1 6-7(1) 6-0 6-4,,3,1,24,11,0,1,t,129850,0,140,19,0,125,72,51,30,18,10,11,4,7,102,53,31,29,17,7,14
152864,3675,16,2/01/2012,H,f,R32,3,3819,SUI,2,,3,8170,,,30.401094,185,3786,RUS,,,41,980,,,30.584532,178,6-2 6-2,,2,0,12,4,0,0,t,152864,0,54,4,0,41,35,27,5,8,0,0,2,3,45,33,19,3,8,3,7
136790,3315,4,13/11/2006,H,f,SF,3,3819,SUI,,,1,7620,,,25.264887,185,4742,ESP,,,2,4270,,,20.44627,185,6-4 7-5,,2,0,13,9,0,0,t,136790,0,113,7,4,60,37,32,10,11,1,2,0,2,80,55,33,14,11,8,11
140957,3409,1,20/10/2008,H,f,R32,3,3819,SUI,1,,2,5805,,,27.200548,185,4035,USA,,,86,527,,,26.261465,183,6-3 6-7(6) 6-3,,2,1,18,12,0,1,t,140957,0,110,17,2,89,53,44,24,16,0,0,15,1,95,58,46,18,14,10,12
129921,3167,65,30/08/2004,H,f,R64,5,3819,SUI,1,,1,5910,,,23.060917,185,4570,CYP,,Q,240,153,,,19.203285,183,6-2 6-7(4) 6-3 6-1,,3,1,24,12,0,1,t,129921,0,124,8,5,104,61,50,25,18,2,4,5,8,117,64,41,21,18,2,10
149545,3596,13,18/10/2010,H,f,R16,3,3819,SUI,1,,2,7335,,,29.193703,185,3758,USA,,,101,559,,,29.483915,188,6-1 6-2,,2,0,12,3,0,0,t,149545,0,51,3,1,48,34,29,6,8,2,2,1,2,42,22,12,7,7,3,7
138125,3347,33,28/10/2007,H,f,R16,3,3900,ARG,,,21,1375,,,25.823408,180,3819,SUI,1,,1,7205,,,26.223135,185,6-4 7-6(3),,2,0,12,10,1,0,t,138125,0,102,6,2,88,44,31,24,11,3,5,4,0,66,44,30,12,11,3,6
148258,3569,113,24/05/2010,C,f,R16,5,3819,SUI,1,,1,10030,,,28.791239,185,4526,SUI,20,,24,1600,,,25.155373,183,6-3 7-6(5) 6-2,,3,0,18,11,1,0,t,148258,0,116,7,0,89,59,43,19,14,3,4,5,4,87,48,38,16,15,3,8
151505,3643,88,20/06/2011,G,f,R64,5,3819,SUI,3,,3,9230,,,29.864477,185,5166,FRA,,,55,923,,,22.973307,183,6-2 6-3 6-2,,3,0,18,7,0,0,t,151505,0,88,11,0,64,41,35,18,13,3,3,0,1,75,44,24,15,12,5,10
142715,3449,121,23/06/2008,G,f,QF,5,3819,SUI,1,,1,6900,,,26.874743,185,4338,CRO,,,43,845,,,24.232718,196,6-1 7-5 6-4,,3,0,19,10,0,0,t,142715,0,102,15,0,71,49,43,18,15,0,0,9,2,95,58,41,17,14,6,10
121703,2987,31,7/01/2002,H,f,F,3,3819,SUI,2,,13,1745,,,20.416153,185,3428,ARG,,Q,67,559,,,22.35729,190,6-3 6-3,,2,0,12,6,0,0,t,121703,0,53,7,0,48,29,23,15,9,0,0,2,4,47,30,22,7,9,0,3
169670,4069,270,7/08/2017,H,f,R32,3,3819,SUI,2,,3,6545,,,35.99726,185,5159,CAN,,WC,116,488,,,29.144423,180,6-2 6-1,,2,0,12,3,0,0,t,169670,0,53,5,1,46,28,24,10,8,2,2,1,6,45,19,14,7,7,3,7
172743,4142,163,27/08/2018,H,f,R128,5,3819,SUI,2,,2,7080,,,37.051334,185,6401,JPN,,,177,323,,,22.915812,170,6-2 6-2 6-4,,3,0,18,8,0,0,t,172743,0,112,14,3,82,55,43,13,13,8,9,0,4,110,64,29,27,13,9,15
116446,2874,29,7/02/2000,H,f,SF,3,3819,SUI,,WC,67,582,,,18.499659,185,2148,FRA,6,,38,908,,,27.162218,178,7-6(4) 7-5,,2,0,13,11,1,0,t,116446,0,94,3,2,75,49,35,18,12,1,2,1,2,72,40,28,19,12,2,4
154197,3705,29,13/05/2012,C,f,R32,3,3819,SUI,3,,2,9430,,,30.76523,185,4122,ARG,,,38,1060,,,29.275839,183,6-3 6-4,,2,0,12,7,0,0,t,154197,0,70,2,0,54,33,27,13,10,4,5,1,3,45,33,23,5,9,1,4
149867,3606,30,3/01/2011,H,f,SF,3,3819,SUI,2,,2,9145,,,29.404518,185,4541,FRA,3,,13,2345,,,25.713894,188,6-3 7-6(2),,2,0,12,9,1,0,t,149867,0,85,3,0,60,40,33,16,11,0,0,3,1,68,46,29,14,10,2,3
122093,2996,30,28/01/2002,P,t,SF,3,3819,SUI,2,,13,1920,,,20.473648,185,2257,GBR,7,,30,1100,,,28.39425,193,7-6(7) 7-6(4),,2,0,12,12,2,0,t,122093,0,94,8,2,78,56,47,13,12,0,0,10,3,89,55,46,19,12,4,4
157359,3777,120,27/05/2013,C,f,R16,5,3819,SUI,2,,3,8000,,,31.800137,185,4467,FRA,15,,18,1895,,,28.413416,183,6-1 4-6 2-6 6-2 6-3,,3,2,24,18,0,0,t,157359,0,179,9,2,117,75,56,23,21,3,6,5,3,161,98,65,28,21,8,14
135557,3289,49,7/08/2006,H,f,R16,3,3819,SUI,1,,1,7260,,,24.996578,185,4098,RUS,,,27,1095,,,23.652292,185,6-3 5-7 6-0,,2,1,17,10,0,0,t,135557,0,107,8,1,92,61,45,16,14,6,7,1,1,82,51,31,17,13,9,13
152073,3655,50,14/08/2011,H,f,QF,3,4606,CZE,8,,9,2420,,,25.908281,196,3819,SUI,3,,3,9200,,,30.017796,185,6-2 7-6(3),,2,0,12,8,1,0,t,152073,0,92,10,1,57,36,31,12,10,0,0,11,2,81,53,40,7,10,5,7
116420,2874,3,7/02/2000,H,f,R32,3,3819,SUI,,WC,67,582,,,18.499659,185,2179,FRA,,Q,93,429,,,26.951403,185,6-4 6-4,,2,0,12,8,0,0,t,116420,0,72,4,3,59,34,24,15,10,2,3,2,1,63,31,21,17,10,1,4
169378,4059,226,3/07/2017,G,f,F,5,3819,SUI,3,,5,5265,,,35.901436,185,5220,CRO,7,,6,4235,,,28.761122,198,6-3 6-1 6-4,,3,0,18,8,0,0,t,169378,0,101,8,2,70,53,43,12,13,1,1,5,3,90,54,35,14,13,5,10
