,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,162196,3893,30,2015-02-23,H,False,SF,3,3970,ESP,2.0,,9,4185,,,32.89528,175.0,5978,USA,,Q,169.0,299.0,,,22.798084,183.0,4-6 6-0 6-0,,2,1,16,6,0,0,True,162196,0,112.0,1,4,69,41,34,15,11,4,5,4,2,73,41,21,14,11,7,13
1,164974,3957,284,2016-02-08,H,False,R32,3,5978,USA,,,124,483,,,23.75633,183.0,26010,USA,,WC,176.0,309.0,,,18.05065,188.0,6-7(0) 7-6(8) 6-4,,2,1,18,16,1,1,True,164974,0,150.0,5,4,111,78,53,17,17,4,7,3,1,109,67,46,27,17,4,8
2,173823,4172,272,2019-02-18,C,False,R32,3,44493,ESP,,,66,746,,,21.790554,183.0,4914,ARG,,,55.0,895.0,,,31.764545,188.0,7-6(5) 6-4,,2,0,12,10,1,0,True,173823,0,99.0,4,0,65,41,32,18,11,2,2,3,5,62,40,32,14,11,1,2
3,163879,3930,26,2015-08-16,H,False,R32,3,5663,BEL,13.0,,14,2090,,,24.692677,163.0,4269,ESP,,,43.0,995.0,,,31.753593,188.0,6-4 7-6(4),,2,0,12,10,1,0,True,163879,0,,0,1,78,53,42,12,11,6,7,6,6,74,42,27,20,11,2,4
4,171045,4104,297,2018-02-19,C,False,QF,3,6029,ARG,6.0,,23,1810,,,25.511293,170.0,4789,FRA,,,39.0,1265.0,,,31.468857,193.0,6-3 6-4,,2,0,12,7,0,0,True,171045,0,83.0,3,1,65,36,26,12,10,0,2,5,7,58,33,22,9,9,3,7
5,169152,4055,286,2017-06-19,G,False,R16,3,4894,NED,,,42,983,,,30.20397,190.0,6219,AUT,2.0,,8.0,3895.0,,,23.791924,185.0,6-3 7-6(7),,2,0,12,9,1,0,True,169152,0,94.0,5,1,77,48,33,19,11,4,5,6,4,70,35,26,19,10,6,8
6,167270,4009,243,2016-10-10,H,False,R64,3,5324,FRA,,,47,960,,,27.42505,196.0,5303,POR,,,34.0,1235.0,,,27.531828,185.0,6-3 5-7 6-1,,2,1,17,11,0,0,True,167270,0,111.0,10,5,94,52,37,17,14,4,8,1,0,90,52,28,18,14,2,9
7,171740,4119,260,2018-05-14,C,False,R64,3,5442,JPN,,,24,1665,,,28.372347,178.0,3852,ESP,,,33.0,1375.0,,,36.646133,188.0,7-6(5) 6-4,,2,0,12,10,1,0,True,171740,0,108.0,1,1,67,40,31,16,11,2,3,7,3,80,46,32,15,11,3,5
8,176914,4247,292,2020-09-07,C,False,R16,3,3852,ESP,,,57,908,,,38.945927,188.0,5539,ARG,7.0,,36.0,1310.0,,,30.29158,185.0,7-5 6-7(4) 7-6(3),,2,1,19,17,1,1,True,176914,0,179.0,21,8,118,66,61,25,18,4,5,9,7,127,66,52,32,18,5,7
9,173296,4157,295,2018-11-12,H,True,RR,3,4920,SRB,1.0,,1,8045,,,31.47707,188.0,4544,USA,8.0,,10.0,3155.0,,,33.546886,206.0,6-4 6-3,,2,0,12,7,0,0,True,173296,0,73.0,6,1,43,30,26,11,9,0,0,13,2,65,45,30,8,10,6,9
10,166896,4001,280,2016-08-22,H,False,R32,3,5793,ESP,16.0,,49,905,,,25.114305,188.0,5515,GER,,,78.0,694.0,,,26.327173,193.0,6-4 7-5,,2,0,13,9,0,0,True,166896,0,80.0,4,1,56,32,28,15,11,1,2,6,5,71,31,19,22,11,4,7
11,170452,4088,279,2018-01-01,H,False,R32,3,26413,ITA,,Q,135,410,,,21.722109,196.0,4677,SRB,,,55.0,880.0,,,31.890486,193.0,4-6 7-6(5) 6-4,,2,1,16,16,1,0,True,170452,0,139.0,12,2,96,55,45,19,16,2,5,6,3,122,94,64,12,16,10,13
12,163892,3930,39,2015-08-16,H,False,R32,3,4728,RSA,15.0,,15,1955,,,29.24846,203.0,6044,USA,,,30.0,1205.0,,,22.893908,185.0,6-3 7-6(7),,2,0,12,9,1,0,True,163892,0,,17,4,67,37,33,15,11,0,1,4,3,69,38,30,13,10,3,5
13,166532,3992,292,2016-07-18,C,False,R16,3,11174,SWE,,,157,357,,,20.271048,,4504,RUS,,,105.0,585.0,,,31.397673,190.0,2-6 7-6(5) 7-5,,2,1,15,17,1,0,True,166532,0,148.0,7,6,128,85,54,24,16,6,10,4,5,93,52,40,21,16,4,7
14,162073,3889,23,2015-02-09,C,False,QF,3,5046,COL,6.0,,33,1165,,,27.203285,188.0,4921,ITA,3.0,,26.0,1380.0,,,27.715263,178.0,7-6(4) 7-5,,2,0,13,11,1,0,True,162073,0,104.0,0,0,76,53,40,11,12,6,8,4,2,80,53,36,12,12,2,5
15,170459,4088,286,2018-01-01,H,False,R16,3,6418,CRO,,,48,1001,,,21.130732,188.0,5918,GEO,,,59.0,826.0,,,25.856262,185.0,6-1 6-3,,2,0,12,4,0,0,True,170459,0,74.0,3,1,55,39,28,8,8,2,3,3,3,59,35,15,12,8,6,11
