,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,164338,3939,17,2015-10-11,H,False,R64,3,6418,CRO,,,40,1051,,,18.907597,188.0,5231,UKR,,,37.0,1135.0,,,26.926762,180.0,6-3 1-6 7-6(5),,2,1,13,15,1,0,True,164338,0,,5,3,88,55,36,23,14,4,7,7,3,97,57,40,23,14,4,6
1,162185,3893,19,2015-02-23,H,False,R16,3,4728,RSA,4.0,,15,2125,,,28.769337,203.0,5438,USA,,,44.0,971.0,,,25.166325,188.0,3-6 7-5 6-3,,2,1,16,14,0,0,True,162185,0,127.0,13,2,87,46,37,20,15,4,6,9,2,84,44,33,26,15,7,10
2,163756,3928,5,2015-08-03,H,False,R64,3,4180,LUX,,,46,945,,,32.235455,193.0,4291,TUN,,,85.0,606.0,,,31.534565,185.0,6-3 7-5,,2,0,13,8,0,0,True,163756,0,,11,4,70,38,36,14,11,7,7,3,1,63,35,25,14,10,1,3
3,165876,3979,291,2016-05-09,C,False,R16,3,6219,AUT,13.0,,15,2340,,,22.680355,185.0,3819,SUI,3.0,,2.0,7525.0,,,34.75154,185.0,7-6(2) 6-4,,2,0,12,10,1,0,True,165876,0,78.0,5,2,63,39,31,16,11,2,3,5,1,75,47,30,17,11,3,5
4,171815,4121,283,2018-05-21,C,False,R32,3,23754,FRA,,,127,445,,,23.310062,,44668,FRA,,WC,143.0,398.0,,,19.088295,178.0,6-7(4) 6-4 6-3,,2,1,18,13,0,1,True,171815,0,167.0,11,6,114,72,49,22,16,3,5,0,3,109,80,48,13,15,7,11
5,175942,4224,2901,2019-11-19,H,True,RR,3,5055,KAZ,,,67,816,,,31.895962,183.0,22139,NED,,,200.0,257.0,,,24.123203,,6-2 6-2,,2,0,12,4,0,0,True,175942,0,64.0,5,0,44,27,21,12,8,0,0,5,3,45,26,18,5,8,1,5
6,170799,4096,277,2018-02-05,H,True,R32,3,25897,RUS,6.0,,36,1310,,,20.295689,188.0,4198,ESP,,,69.0,755.0,,,34.67488,188.0,6-4 6-4,,2,0,12,8,0,0,True,170799,0,74.0,4,3,59,35,29,13,10,5,6,3,10,70,33,23,17,10,5,8
7,171289,4109,262,2018-03-19,H,False,R64,3,4728,RSA,6.0,,8,3235,,,31.83573,203.0,5918,GEO,,,89.0,640.0,,,26.067078,185.0,6-4 6-3,,2,0,12,7,0,0,True,171289,0,88.0,16,1,57,34,30,12,10,3,4,5,7,79,41,28,16,9,7,10
8,166388,3990,274,2016-07-11,C,False,R32,3,5427,ESP,,,82,688,,,26.61191,,644,GER,4.0,,27.0,1430.0,,,19.225187,198.0,7-5 7-6(2),,2,0,13,11,1,0,True,166388,0,100.0,9,1,76,51,35,10,12,1,5,2,7,70,46,29,7,12,2,7
9,165591,3972,271,2016-04-11,C,False,R32,3,5324,FRA,16.0,,22,1596,,,26.926762,196.0,5303,POR,,,34.0,1181.0,,,27.033539,185.0,6-4 6-3,,2,0,12,7,0,0,True,165591,0,72.0,3,2,52,29,21,14,10,2,4,0,1,61,35,17,16,9,0,4
